country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
At,201801,163.0,75.0,5.7,4.2,4.2,3.7,3.7,0.0,20.0,20.0,50.7,59.4,8.7,0.0,0.0,0.3,0.3,0.6,0.6,10.5,10.5,0.0,0.0,1.3,1.3,0.0,0.0,0.0
At,201802,196.0,68.0,4.8,4.4,4.4,4.5,4.5,0.0,25.5,25.5,41.9,53.6,11.7,0.0,0.0,0.3,0.3,1.0,1.0,9.3,9.3,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201803,179.0,73.0,4.6,5.0,5.0,5.1,5.1,0.0,20.2,20.2,43.6,53.3,9.7,0.0,0.0,0.4,0.4,2.0,2.0,12.4,12.4,0.0,0.0,1.6,1.6,0.0,0.0,0.0
At,201804,70.0,93.0,5.1,4.1,4.1,1.0,1.0,0.0,4.6,4.6,66.0,72.1,6.1,0.0,0.0,0.3,0.3,3.2,3.2,13.3,13.3,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201805,52.0,96.0,5.2,4.1,4.1,0.0,0.0,0.0,2.1,2.1,73.7,82.1,8.4,0.0,0.0,0.3,0.3,3.5,3.5,6.5,6.5,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201806,60.0,94.0,4.9,4.1,4.1,0.0,0.0,0.0,3.8,3.8,68.8,75.9,7.1,0.0,0.0,0.3,0.3,3.9,3.9,10.5,10.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0
At,201807,71.0,93.0,4.0,5.2,5.2,0.0,0.0,0.0,5.1,5.1,64.0,71.7,7.7,0.0,0.0,0.4,0.4,5.2,5.2,10.6,10.6,0.0,0.0,1.8,1.8,0.0,0.0,0.0
At,201808,91.0,89.0,3.5,5.8,5.8,0.0,0.0,0.0,8.7,8.7,60.7,68.2,7.5,0.0,0.0,0.5,0.5,5.1,5.1,9.6,9.6,0.0,0.0,2.1,2.1,0.0,0.0,0.0
At,201809,118.0,84.0,3.9,5.4,5.4,1.9,1.9,0.0,11.8,11.8,56.9,64.7,7.8,0.0,0.0,0.4,0.4,3.5,3.5,10.4,10.4,0.0,0.0,1.9,1.9,0.0,0.0,0.0
At,201810,161.0,76.0,4.2,5.2,5.2,4.6,4.6,0.0,17.1,17.1,42.5,51.1,8.6,0.0,0.0,0.4,0.4,2.5,2.5,17.4,17.4,0.0,0.0,1.7,1.7,0.0,0.0,0.0
At,201811,197.0,68.0,4.6,4.7,4.7,4.7,4.7,0.0,25.1,25.1,39.5,50.3,10.8,0.0,0.0,0.3,0.3,1.2,1.2,12.1,12.1,0.0,0.0,1.6,1.6,0.0,0.0,0.0
At,201812,205.0,66.0,5.3,4.2,4.2,4.1,4.1,0.0,28.4,28.4,38.8,45.8,7.0,0.0,0.0,0.3,0.3,0.5,0.5,15.3,15.3,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201901,189.0,68.0,5.7,3.9,3.9,3.1,3.1,0.0,27.0,27.0,39.7,47.4,7.7,0.0,0.0,0.3,0.3,0.5,0.5,16.5,16.5,0.0,0.0,1.3,1.3,0.0,0.0,0.0
At,201902,192.0,69.0,4.8,4.3,4.3,4.0,4.0,0.0,25.6,25.6,40.6,47.1,6.5,0.0,0.0,0.3,0.3,1.3,1.3,16.0,16.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201903,117.0,84.0,5.3,4.3,4.3,2.4,2.4,0.0,12.3,12.3,56.8,62.8,6.0,0.0,0.0,0.3,0.3,1.8,1.8,14.7,14.7,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201904,99.0,87.0,5.3,4.0,4.0,1.8,1.8,0.0,9.6,9.6,57.4,64.2,6.8,0.0,0.0,0.3,0.3,2.5,2.5,16.2,16.2,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201905,57.0,96.0,5.4,3.7,3.7,1.4,1.4,0.0,1.4,1.4,67.0,73.3,6.3,0.0,0.0,0.3,0.3,2.6,2.6,15.9,15.9,0.0,0.0,1.4,1.4,0.0,0.0,0.0
At,201906,64.0,94.0,5.5,3.1,3.1,1.4,1.4,0.0,3.0,3.0,71.7,79.1,7.4,0.0,0.0,0.3,0.3,3.9,3.9,7.9,7.9,0.0,0.0,1.3,1.3,0.0,0.0,0.0
At,201907,108.0,86.0,4.8,3.7,3.7,2.6,2.6,0.0,9.6,9.6,62.6,70.6,8.0,0.0,0.0,0.3,0.3,4.0,4.0,7.6,7.6,0.0,0.0,1.6,1.6,0.0,0.0,0.0
At,201908,113.0,83.0,4.5,3.4,3.4,0.2,0.2,0.0,14.7,14.7,61.0,68.5,7.5,0.0,0.0,0.4,0.4,3.6,3.6,7.5,7.5,0.0,0.0,1.7,1.7,0.0,0.0,0.0
At,201909,144.0,77.0,4.3,3.7,3.7,0.6,0.6,0.0,20.6,20.6,52.4,59.6,7.2,0.0,0.0,0.4,0.4,3.2,3.2,10.2,10.2,0.0,0.0,1.7,1.7,0.0,0.0,0.0
At,201910,190.0,68.0,4.5,3.4,3.4,3.0,3.0,0.0,26.7,26.7,43.2,50.9,7.7,0.0,0.0,0.4,0.4,2.1,2.1,11.8,11.8,0.0,0.0,1.7,1.7,0.0,0.0,0.0
At,201911,168.0,72.0,5.1,2.7,2.7,2.3,2.3,0.0,24.2,24.2,44.8,53.1,8.3,0.0,0.0,0.3,0.3,0.9,0.9,15.1,15.1,0.0,0.0,1.4,1.4,0.0,0.0,0.0
