country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Be,201801,178.0,17.0,7.1,3.6,3.6,0.0,0.0,0.0,21.4,21.4,0.3,2.0,1.7,0.0,0.0,7.2,7.2,0.8,0.8,5.7,10.8,51.7,51.7,2.5,2.5,5.1,0.0,0.0
Be,201802,200.0,16.0,7.0,3.4,3.4,0.0,0.0,0.0,26.3,26.3,0.4,1.6,1.2,0.0,0.0,7.0,7.0,2.7,2.7,4.0,8.5,48.0,48.0,2.5,2.5,4.5,0.0,0.0
Be,201803,189.0,16.0,7.2,2.7,2.7,0.0,0.0,0.0,24.0,24.0,0.4,1.9,1.5,0.0,0.0,7.3,7.3,3.2,3.2,4.4,8.100000000000001,50.4,50.4,2.4,2.4,3.7,0.0,0.0
Be,201804,181.0,21.0,5.6,4.3,4.3,0.0,0.0,0.0,20.1,20.1,0.4,2.3,1.9,0.0,0.0,7.9,7.9,6.5,6.5,4.1,7.6,48.5,48.5,2.8,2.8,3.5,0.0,0.0
Be,201805,193.0,22.0,5.4,4.0,4.0,0.0,0.0,0.0,22.6,22.6,0.2,1.9,1.7,0.0,0.0,7.4,7.4,9.5,9.5,3.0,6.1,45.2,45.2,3.3,3.3,3.1,0.0,0.0
Be,201806,219.0,22.0,5.3,4.8,4.8,0.0,0.0,0.0,29.1,29.1,0.2,1.4,1.2,0.0,0.0,6.6,6.6,8.7,8.7,3.0,7.0,39.4,39.4,3.0,3.0,4.0,0.0,0.0
Be,201807,230.0,20.0,5.7,4.2,4.2,0.0,0.0,0.0,32.2,32.2,0.1,1.2,1.1,0.0,0.0,5.8,5.8,9.8,9.8,2.6,4.9,38.7,38.7,3.2,3.2,2.3,0.0,0.0
Be,201808,250.0,20.0,5.5,4.0,4.0,0.0,0.0,0.0,34.9,34.9,0.0,0.8,0.8,0.0,0.0,7.2,7.2,7.7,7.7,3.4,7.199999999999999,34.9,34.9,3.3,3.3,3.8,0.0,0.0
Be,201809,267.0,22.0,4.8,3.5,3.5,0.0,0.0,0.0,36.1,36.1,0.0,1.4,1.4,0.0,0.0,9.2,9.2,7.2,7.2,4.0,9.9,29.2,29.2,3.5,3.5,5.9,0.0,0.0
Be,201810,328.0,20.0,5.5,3.2,3.2,0.0,0.0,0.0,49.7,49.7,0.0,1.7,1.7,0.0,0.0,8.9,8.9,4.4,4.4,4.3,10.3,18.4,18.4,3.4,3.4,6.0,0.0,0.0
Be,201811,329.0,19.0,6.0,4.0,4.0,0.0,0.0,0.0,49.7,49.7,0.1,1.6,1.5,0.0,0.0,9.2,9.2,1.8,1.8,4.9,11.4,19.2,19.2,3.1,3.1,6.5,0.0,0.0
Be,201812,274.0,20.0,5.7,3.4,3.4,0.0,0.0,0.0,37.7,37.7,0.4,1.8,1.4,0.0,0.0,9.6,9.6,1.0,1.0,6.4,14.2,28.9,28.9,3.4,3.4,7.8,0.0,0.0
Be,201901,249.0,15.0,7.6,3.4,3.4,0.0,0.0,0.0,35.5,35.5,0.3,1.5,1.2,0.0,0.0,8.0,8.0,0.8,0.8,4.2,9.600000000000001,38.7,38.7,2.5,2.5,5.4,0.0,0.0
Be,201902,221.0,17.0,6.5,3.1,3.1,0.0,0.0,0.0,29.8,29.8,0.3,1.3,1.0,0.0,0.0,7.8,7.8,3.0,3.0,4.4,9.100000000000001,43.3,43.3,2.6,2.6,4.7,0.0,0.0
Be,201903,177.0,20.0,7.2,2.0,2.0,0.0,0.0,0.0,21.4,21.4,0.3,1.4,1.1,0.0,0.0,7.6,7.6,3.4,3.4,6.4,12.7,49.1,49.1,2.4,2.4,6.3,0.0,0.0
Be,201904,181.0,16.0,6.9,1.2,1.2,0.0,0.0,0.0,23.3,23.3,0.2,1.3,1.1,0.0,0.0,7.0,7.0,6.0,6.0,3.0,7.2,51.7,51.7,2.3,2.3,4.2,0.0,0.0
Be,201905,173.0,16.0,6.8,1.3,1.3,0.0,0.0,0.0,21.4,21.4,0.2,1.1,0.9,0.0,0.0,6.8,6.8,6.6,6.6,2.6,6.5,53.7,53.7,2.6,2.6,3.9,0.0,0.0
Be,201906,194.0,21.0,6.5,3.6,3.6,0.0,0.0,0.0,27.0,27.0,0.1,1.3,1.2,0.0,0.0,5.4,5.4,7.9,7.9,3.1,7.699999999999999,45.1,45.1,2.0,2.0,4.6,0.0,0.0
Be,201907,191.0,16.0,7.2,3.3,3.3,0.0,0.0,0.0,27.2,27.2,0.0,0.8,0.8,0.0,0.0,4.9,4.9,6.6,6.6,2.2,5.300000000000001,49.9,49.9,2.0,2.0,3.1,0.0,0.0
Be,201908,170.0,17.0,7.9,2.9,2.9,0.0,0.0,0.0,22.9,22.9,0.0,0.6,0.6,0.0,0.0,4.7,4.7,5.7,5.7,2.7,7.6000000000000005,53.3,53.3,2.3,2.3,4.9,0.0,0.0
Be,201909,177.0,17.0,8.0,3.0,3.0,0.0,0.0,0.0,24.1,24.1,0.0,0.7,0.7,0.0,0.0,5.3,5.3,4.5,4.5,3.1,8.8,51.6,51.6,2.0,2.0,5.7,0.0,0.0
Be,201910,227.0,17.0,7.7,2.4,2.4,0.0,0.0,0.0,33.0,33.0,0.1,1.1,1.0,0.0,0.0,6.6,6.6,2.6,2.6,4.1,10.8,41.2,41.2,2.3,2.3,6.7,0.0,0.0
Be,201911,230.0,16.0,7.7,3.5,3.5,0.0,0.0,0.0,32.7,32.7,0.3,1.3,1.0,0.0,0.0,7.1,7.1,1.5,1.5,3.6,9.4,42.2,42.2,2.3,2.3,5.8,0.0,0.0
Be,201912,182.0,20.0,7.8,3.0,3.0,0.0,0.0,0.0,23.0,23.0,0.2,1.5,1.3,0.0,0.0,7.1,7.1,0.9,0.9,6.4,14.3,47.9,47.9,2.3,2.3,7.9,0.0,0.0
Be,202001,218.0,20.0,7.6,3.4,3.4,0.0,0.0,0.0,30.3,30.3,0.3,1.5,1.2,0.0,0.0,7.0,7.0,1.1,1.1,5.9,14.200000000000001,40.1,40.1,2.4,2.4,8.3,0.0,0.0
Be,202002,186.0,26.0,7.1,1.4,1.4,0.0,0.0,0.0,25.2,25.2,0.3,1.6,1.3,0.0,0.0,6.5,6.5,2.0,2.0,8.8,20.5,40.5,40.5,2.3,2.3,11.7,0.0,0.0
Be,202003,185.0,25.0,7.3,3.0,3.0,0.0,0.0,0.0,24.7,24.7,0.3,1.5,1.2,0.0,0.0,5.8,5.8,5.3,5.3,6.0,15.5,41.9,41.9,2.3,2.3,9.5,0.0,0.0
Be,202004,165.0,24.0,6.1,3.4,3.4,0.0,0.0,0.0,19.2,19.2,0.3,1.7,1.4,0.0,0.0,6.1,6.1,9.5,9.5,3.7,9.3,48.1,48.1,2.7,2.7,5.6,0.0,0.0
Be,202005,180.0,24.0,6.8,3.4,3.4,0.0,0.0,0.0,22.5,22.5,0.1,1.2,1.1,0.0,0.0,6.3,6.3,10.0,10.0,3.7,9.8,44.5,44.5,2.3,2.3,6.1,0.0,0.0
Be,202006,234.0,23.0,6.2,3.6,3.6,0.0,0.0,0.0,34.0,34.0,0.1,1.3,1.2,0.0,0.0,6.0,6.0,9.3,9.3,3.1,8.7,34.7,34.7,2.4,2.4,5.6,0.0,0.0
Be,202007,257.0,21.0,6.9,3.3,3.3,0.0,0.0,0.0,39.3,39.3,0.0,1.2,1.2,0.0,0.0,5.8,5.8,8.0,8.0,3.0,8.4,31.6,31.6,2.4,2.4,5.4,0.0,0.0
Be,202008,249.0,22.0,6.3,3.6,3.6,0.0,0.0,0.0,37.2,37.2,0.0,1.2,1.2,0.0,0.0,5.8,5.8,7.9,7.9,3.2,9.2,32.4,32.4,2.7,2.7,6.0,0.0,0.0
Be,202009,219.0,21.0,6.5,3.1,3.1,0.0,0.0,0.0,30.7,30.7,0.0,1.4,1.4,0.0,0.0,6.5,6.5,6.1,6.1,2.8,10.0,39.7,39.7,2.5,2.5,7.2,0.0,0.0
Be,202010,197.0,26.0,6.7,0.8,0.8,0.0,0.0,0.0,26.1,26.1,0.2,1.5,1.3,0.0,0.0,7.5,7.5,2.7,2.7,7.3,20.8,38.0,38.0,2.6,2.6,13.5,0.0,0.0
Be,202011,208.0,21.0,7.2,2.9,2.9,0.0,0.0,0.0,27.7,27.7,0.1,1.2,1.1,0.0,0.0,7.4,7.4,1.7,1.7,5.5,14.7,41.8,41.8,2.6,2.6,9.2,0.0,0.0
Be,202012,208.0,21.0,7.9,2.7,2.7,0.0,0.0,0.0,28.1,28.1,0.3,1.5,1.2,0.0,0.0,7.3,7.3,0.8,0.8,5.5,15.8,41.4,41.4,2.4,2.4,10.3,0.0,0.0
Be,202101,185.0,19.0,8.1,2.3,2.3,0.0,0.0,0.0,24.7,24.7,0.0,1.2,1.2,0.0,0.0,7.3,7.3,1.1,1.1,4.8,13.899999999999999,48.1,48.1,1.4,1.4,9.1,0.0,0.0
Be,202102,153.0,22.0,7.8,1.8,1.8,0.0,0.0,0.0,19.2,19.2,0.0,1.1,1.1,0.0,0.0,7.6,7.6,2.7,2.7,5.6,16.0,51.4,51.4,0.2,0.2,10.4,0.0,0.0
Be,202103,148.0,21.0,8.2,2.1,2.1,0.0,0.0,0.0,21.4,21.4,0.0,1.3,1.3,0.0,0.0,3.3,3.3,5.4,5.4,4.7,12.100000000000001,53.0,53.0,1.4,1.4,7.4,0.0,0.0
Be,202104,146.0,22.0,7.1,2.0,2.0,0.0,0.0,0.0,24.5,24.5,0.0,0.8,0.8,0.0,0.0,0.2,0.2,8.5,8.5,4.0,10.7,51.8,51.8,1.5,1.5,6.7,0.0,0.0
Be,202105,105.0,24.0,6.5,0.5,0.5,0.0,0.0,0.0,16.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,9.7,6.6,13.7,58.0,58.0,2.0,2.0,7.1,0.0,0.0
Be,202106,120.0,18.0,6.4,1.9,1.9,0.0,0.0,0.0,19.4,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.2,2.2,5.6,61.5,61.5,1.4,1.4,3.4,0.0,0.0
Be,202107,94.0,22.0,6.8,2.6,2.6,0.0,0.0,0.0,13.5,13.5,0.0,0.6,0.6,0.0,0.0,0.0,0.0,8.8,8.8,3.7,9.7,63.2,63.2,1.6,1.6,6.0,0.0,0.0
Be,202108,81.0,24.0,6.5,2.8,2.8,0.0,0.0,0.0,10.8,10.8,0.0,1.5,1.5,0.0,0.0,0.0,0.0,7.9,7.9,3.9,12.1,63.4,63.4,1.5,1.5,8.2,0.0,0.0
Be,202109,101.0,22.0,5.8,2.7,2.7,0.0,0.0,0.0,15.0,15.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,8.2,8.2,3.2,8.9,62.0,62.0,1.5,1.5,5.7,0.0,0.0
Be,202110,88.0,27.0,7.0,2.5,2.5,0.0,0.0,0.0,12.7,12.7,0.0,1.7,1.7,0.0,0.0,0.0,0.0,4.0,4.0,6.8,18.4,59.3,59.3,1.4,1.4,11.6,0.0,0.0
Be,202111,166.0,18.0,6.9,2.5,2.5,0.0,0.0,0.0,29.3,29.3,0.0,1.4,1.4,0.0,0.0,0.0,0.0,1.8,1.8,3.9,12.3,51.3,51.3,1.4,1.4,8.4,0.0,0.0
Be,202112,131.0,20.0,7.6,2.4,2.4,0.0,0.0,0.0,21.9,21.9,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.7,0.7,5.5,15.1,57.0,57.0,1.5,1.5,9.6,0.0,0.0
Be,202201,139.0,18.0,7.8,2.1,2.1,0.0,0.0,0.0,23.8,23.8,0.1,1.6,1.5,0.0,0.0,0.0,0.0,1.3,1.3,4.7,12.899999999999999,56.8,56.8,1.5,1.5,8.2,0.0,0.0
Be,202202,90.0,30.0,6.7,1.1,1.1,0.0,0.0,0.0,13.5,13.5,0.1,1.7,1.6,0.0,0.0,0.0,0.0,3.3,3.3,9.7,24.299999999999997,54.4,54.4,1.7,1.7,14.6,0.0,0.0
Be,202203,125.0,23.0,6.5,2.3,2.3,0.0,0.0,0.0,19.8,19.8,0.0,1.7,1.7,0.0,0.0,0.0,0.0,8.6,8.6,4.5,10.3,55.5,55.5,1.8,1.8,5.8,0.0,0.0
Be,202204,95.0,29.0,6.5,2.4,2.4,0.0,0.0,0.0,13.2,13.2,0.0,1.6,1.6,0.0,0.0,0.0,0.0,10.9,10.9,5.7,14.2,55.9,55.9,1.8,1.8,8.5,0.0,0.0
