country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Bg,202101,362.0,20.0,4.1,0.5,0.5,1.4,34.9,33.5,7.2,7.2,12.4,13.9,1.5,0.0,0.0,0.0,0.0,1.6,1.6,4.1,4.1,37.7,37.7,0.1,0.1,0.0,0.0,0.0
Bg,202102,345.0,21.0,3.7,0.5,0.5,1.2,33.0,31.8,7.0,7.0,13.3,14.6,1.3,0.0,0.0,0.0,0.0,2.5,2.5,3.5,3.5,38.8,38.8,0.1,0.1,0.0,0.0,0.0
Bg,202103,367.0,19.0,4.2,0.5,0.5,1.2,35.5,34.3,7.0,7.0,12.0,12.5,0.5,0.0,0.0,0.0,0.0,2.7,2.7,3.7,3.7,38.1,38.1,0.0,0.0,0.0,0.0,0.0
Bg,202104,422.0,22.0,3.8,0.5,0.5,1.1,42.2,41.1,5.7,5.7,15.5,15.9,0.4,0.0,0.0,0.0,0.0,3.6,3.6,2.0,2.0,30.0,30.0,0.1,0.1,0.0,0.0,0.0
Bg,202105,415.0,28.0,3.2,0.6,0.6,1.5,41.9,40.4,4.6,4.6,18.2,18.8,0.6,0.0,0.0,0.0,0.0,5.1,5.1,3.1,3.1,25.8,25.8,0.1,0.1,0.0,0.0,0.0
Bg,202106,251.0,25.0,3.1,0.6,0.6,1.5,23.9,22.4,4.3,4.3,16.0,16.6,0.6,0.0,0.0,0.0,0.0,4.6,4.6,2.7,2.7,47.2,47.2,0.1,0.1,0.0,0.0,0.0
Bg,202107,366.0,17.0,3.7,0.5,0.5,1.2,36.800000000000004,35.6,4.2,4.2,8.7,9.1,0.4,0.0,0.0,0.0,0.0,5.1,5.1,2.3,2.3,41.9,41.9,0.1,0.1,0.0,0.0,0.0
Bg,202108,408.0,14.0,3.8,0.5,0.5,1.2,41.6,40.4,4.1,4.1,6.2,6.5,0.3,0.0,0.0,0.0,0.0,4.8,4.8,1.7,1.7,40.8,40.8,0.0,0.0,0.0,0.0,0.0
Bg,202109,462.0,11.0,4.0,0.6,0.6,1.0,46.3,45.3,6.6,6.6,4.8,4.8,0.0,0.0,0.0,0.0,0.0,3.4,3.4,2.4,2.4,35.9,35.9,0.0,0.0,0.0,0.0,0.0
Bg,202110,588.0,13.0,3.9,0.6,0.6,1.2,60.6,59.4,6.1,6.1,6.5,6.7,0.2,0.0,0.0,0.0,0.0,2.4,2.4,3.1,3.1,20.4,20.4,0.1,0.1,0.0,0.0,0.0
Bg,202111,481.0,10.0,4.4,0.3,0.3,1.0,48.8,47.8,6.1,6.1,5.3,5.4,0.1,0.0,0.0,0.0,0.0,1.6,1.6,2.8,2.8,34.9,34.9,0.1,0.1,0.0,0.0,0.0
Bg,202112,462.0,14.0,5.0,0.5,0.5,0.9,46.0,45.1,7.3,7.3,9.1,9.1,0.0,0.0,0.0,0.0,0.0,0.9,0.9,3.8,3.8,32.3,32.3,0.1,0.1,0.0,0.0,0.0
Bg,202201,468.0,14.0,5.2,0.4,0.4,0.9,46.199999999999996,45.3,8.1,8.1,8.1,8.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.9,3.9,31.2,31.2,0.1,0.1,0.0,0.0,0.0
Bg,202202,483.0,12.0,4.5,0.4,0.4,0.9,48.6,47.7,6.7,6.7,6.2,6.2,0.0,0.0,0.0,0.0,0.0,2.3,2.3,3.2,3.2,32.5,32.5,0.1,0.1,0.0,0.0,0.0
Bg,202203,477.0,14.0,5.1,0.4,0.4,0.9,48.5,47.6,5.7,5.7,7.3,7.4,0.1,0.0,0.0,0.0,0.0,2.7,2.7,3.7,3.7,31.5,31.5,0.1,0.1,0.0,0.0,0.0
Bg,202204,449.0,17.0,4.1,0.5,0.5,1.1,45.6,44.5,5.0,5.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.2,3.2,32.8,32.8,0.1,0.1,0.0,0.0,0.0
Bg,202205,501.0,20.0,3.6,0.7,0.7,1.3,51.8,50.5,4.2,4.2,11.2,11.2,0.0,0.0,0.0,0.0,0.0,5.5,5.5,2.1,2.1,24.4,24.4,0.1,0.1,0.0,0.0,0.0
Bg,202206,399.0,18.0,4.0,0.5,0.5,1.2,40.7,39.5,3.8,3.8,10.8,10.8,0.0,0.0,0.0,0.0,0.0,4.5,4.5,2.1,2.1,37.5,37.5,0.1,0.1,0.0,0.0,0.0
Bg,202207,424.0,15.0,4.2,0.6,0.6,1.1,43.1,42.0,4.4,4.4,7.5,7.5,0.0,0.0,0.0,0.0,0.0,4.8,4.8,1.8,1.8,37.7,37.7,0.1,0.1,0.0,0.0,0.0
Bg,202208,425.0,14.0,4.1,0.5,0.5,0.8,43.699999999999996,42.9,3.5,3.5,7.2,7.2,0.0,0.0,0.0,0.0,0.0,4.4,4.4,2.3,2.3,38.3,38.3,0.1,0.1,0.0,0.0,0.0
Bg,202209,481.0,10.0,3.5,0.3,0.3,1.2,50.300000000000004,49.1,3.3,3.3,5.2,5.2,0.0,0.0,0.0,0.0,0.0,2.6,2.6,1.6,1.6,36.6,36.6,0.1,0.1,0.0,0.0,0.0
Bg,202210,542.0,12.0,3.1,0.4,0.4,1.5,56.0,54.5,5.2,5.2,7.1,7.1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,1.8,26.4,26.4,0.1,0.1,0.0,0.0,0.0
Bg,202211,499.0,9.0,4.0,0.4,0.4,1.1,51.0,49.9,5.7,5.7,5.2,5.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,34.6,34.6,0.1,0.1,0.0,0.0,0.0
Bg,202212,505.0,9.0,4.3,0.4,0.4,1.1,51.300000000000004,50.2,6.5,6.5,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,2.0,33.1,33.1,0.1,0.1,0.0,0.0,0.0
