country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Cz,201801,516.0,10.0,6.8,3.1,3.1,8.3,51.099999999999994,42.8,4.0,4.0,2.9,4.9,2.0,0.1,0.1,4.3,4.3,0.6,0.6,0.9,0.9,30.9,30.9,0.1,0.1,0.0,0.0,0.0
Cz,201802,519.0,9.0,6.6,2.8,2.8,8.4,51.0,42.6,5.2,5.2,2.8,4.4,1.6,0.1,0.1,4.0,4.0,1.7,1.7,0.6,0.6,30.0,30.0,0.2,0.2,0.0,0.0,0.0
Cz,201803,502.0,9.0,7.9,2.5,2.5,7.3,50.199999999999996,42.9,3.4,3.4,2.0,3.5,1.5,0.1,0.1,3.7,3.7,2.0,2.0,0.7,0.7,33.7,33.7,0.2,0.2,0.0,0.0,0.0
Cz,201804,444.0,13.0,6.3,3.2,3.2,5.9,43.6,37.7,2.1,2.1,2.7,4.5,1.8,0.0,0.0,4.5,4.5,4.7,4.7,0.9,0.9,36.3,36.3,0.2,0.2,0.0,0.0,0.0
Cz,201805,433.0,12.0,6.7,2.9,2.9,4.8,42.699999999999996,37.9,1.5,1.5,2.3,3.7,1.4,0.1,0.1,4.3,4.3,4.9,4.9,0.7,0.7,39.0,39.0,0.2,0.2,0.0,0.0,0.0
Cz,201806,446.0,11.0,6.3,2.7,2.7,4.3,43.699999999999996,39.4,2.3,2.3,2.5,3.5,1.0,0.1,0.1,4.4,4.4,4.4,4.4,0.6,0.6,38.1,38.1,0.2,0.2,0.0,0.0,0.0
Cz,201807,495.0,11.0,6.3,2.8,2.8,5.5,47.6,42.1,5.0,5.0,2.5,3.1,0.6,0.1,0.1,4.6,4.6,4.8,4.8,0.5,0.5,31.2,31.2,0.3,0.3,0.0,0.0,0.0
Cz,201808,476.0,11.0,6.4,2.9,2.9,5.8,45.3,39.5,5.7,5.7,2.3,2.9,0.6,0.1,0.1,4.4,4.4,4.6,4.6,0.4,0.4,33.5,33.5,0.2,0.2,0.0,0.0,0.0
Cz,201809,473.0,9.0,6.6,2.8,2.8,6.0,46.3,40.3,3.7,3.7,1.8,2.4,0.6,0.1,0.1,4.1,4.1,3.7,3.7,0.5,0.5,36.2,36.2,0.2,0.2,0.0,0.0,0.0
Cz,201810,490.0,8.0,7.2,2.3,2.3,6.4,48.0,41.6,4.7,4.7,1.5,2.7,1.2,0.0,0.0,4.0,4.0,2.4,2.4,0.9,0.9,34.8,34.8,0.2,0.2,0.0,0.0,0.0
Cz,201811,503.0,7.0,7.4,2.6,2.6,6.5,49.1,42.6,5.7,5.7,1.3,2.7,1.4,0.0,0.0,3.8,3.8,1.0,1.0,0.7,0.7,34.3,34.3,0.1,0.1,0.0,0.0,0.0
Cz,201812,499.0,7.0,7.5,2.4,2.4,5.9,48.699999999999996,42.8,5.5,5.5,1.2,2.7,1.5,0.0,0.0,3.8,3.8,0.4,0.4,1.2,1.2,35.1,35.1,0.2,0.2,0.0,0.0,0.0
Cz,201901,506.0,8.0,7.9,2.4,2.4,6.0,48.9,42.9,6.8,6.8,2.2,3.5,1.3,0.0,0.0,3.6,3.6,0.7,0.7,1.1,1.1,32.8,32.8,0.2,0.2,0.0,0.0,0.0
Cz,201902,490.0,8.0,7.1,2.2,2.2,5.8,47.5,41.7,5.9,5.9,2.2,3.3,1.1,0.0,0.0,3.7,3.7,1.8,1.8,0.9,0.9,34.5,34.5,0.2,0.2,0.0,0.0,0.0
Cz,201903,492.0,12.0,6.9,2.2,2.2,4.7,48.1,43.4,4.2,4.2,4.1,5.5,1.4,0.1,0.1,4.2,4.2,2.7,2.7,1.3,1.3,31.5,31.5,0.2,0.2,0.0,0.0,0.0
Cz,201904,470.0,13.0,6.4,2.2,2.2,4.1,45.2,41.1,4.8,4.8,3.6,5.0,1.4,0.1,0.1,4.3,4.3,4.4,4.4,1.0,1.0,32.8,32.8,0.2,0.2,0.0,0.0,0.0
Cz,201905,420.0,11.0,6.7,2.1,2.1,4.0,40.6,36.6,3.0,3.0,3.0,4.4,1.4,0.0,0.0,4.3,4.3,3.4,3.4,0.8,0.8,41.1,41.1,0.3,0.3,0.0,0.0,0.0
Cz,201906,409.0,13.0,5.8,2.6,2.6,3.8,36.599999999999994,32.8,7.4,7.4,2.8,3.9,1.1,0.1,0.1,4.6,4.6,5.6,5.6,0.6,0.6,38.3,38.3,0.3,0.3,0.0,0.0,0.0
Cz,201907,446.0,13.0,5.4,3.2,3.2,1.9,38.6,36.7,10.2,10.2,2.3,3.9,1.6,0.1,0.1,5.0,5.0,5.3,5.3,0.5,0.5,32.9,32.9,0.3,0.3,0.0,0.0,0.0
Cz,201908,459.0,11.0,6.1,2.8,2.8,2.5,41.5,39.0,8.5,8.5,1.9,3.5,1.6,0.1,0.1,4.4,4.4,4.3,4.3,0.4,0.4,34.2,34.2,0.3,0.3,0.0,0.0,0.0
Cz,201909,469.0,10.0,6.5,2.5,2.5,3.8,43.0,39.2,8.7,8.7,1.6,3.2,1.6,0.1,0.1,4.1,4.1,3.3,3.3,0.7,0.7,34.2,34.2,0.2,0.2,0.0,0.0,0.0
Cz,201910,446.0,9.0,7.4,2.2,2.2,4.6,41.300000000000004,36.7,7.8,7.8,2.1,3.6,1.5,0.1,0.1,3.9,3.9,2.0,2.0,0.8,0.8,38.1,38.1,0.2,0.2,0.0,0.0,0.0
Cz,201911,462.0,7.0,7.2,2.5,2.5,5.0,43.4,38.4,7.3,7.3,1.5,2.8,1.3,0.1,0.1,3.8,3.8,0.8,0.8,0.8,0.8,38.3,38.3,0.2,0.2,0.0,0.0,0.0
Cz,201912,483.0,8.0,7.2,2.4,2.4,4.8,46.4,41.6,5.6,5.6,1.7,3.5,1.8,0.1,0.1,4.1,4.1,0.7,0.7,1.1,1.1,35.8,35.8,0.3,0.3,0.0,0.0,0.0
Cz,202001,506.0,7.0,7.4,2.2,2.2,4.6,47.6,43.0,8.4,8.4,1.7,3.1,1.4,0.1,0.1,4.0,4.0,0.8,0.8,0.9,0.9,32.6,32.6,0.3,0.3,0.0,0.0,0.0
Cz,202002,470.0,10.0,6.7,2.4,2.4,5.0,43.5,38.5,8.1,8.1,2.4,4.0,1.6,0.2,0.2,4.1,4.1,1.5,1.5,1.6,1.6,34.3,34.3,0.3,0.3,0.0,0.0,0.0
Cz,202003,466.0,12.0,6.5,2.6,2.6,4.8,43.199999999999996,38.4,7.1,7.1,3.0,4.7,1.7,0.2,0.2,4.5,4.5,3.4,3.4,1.2,1.2,32.8,32.8,0.3,0.3,0.0,0.0,0.0
Cz,202004,430.0,16.0,5.3,3.5,3.5,5.2,38.6,33.4,6.9,6.9,2.7,5.3,2.6,0.2,0.2,5.1,5.1,6.0,6.0,0.9,0.9,33.2,33.2,0.3,0.3,0.0,0.0,0.0
Cz,202005,354.0,13.0,5.7,3.2,3.2,4.5,30.5,26.0,7.0,7.0,2.0,4.1,2.1,0.1,0.1,4.9,4.9,4.8,4.8,0.8,0.8,44.4,44.4,0.2,0.2,0.0,0.0,0.0
Cz,202006,382.0,13.0,5.7,3.3,3.3,4.0,32.6,28.6,9.0,9.0,3.5,4.7,1.2,0.1,0.1,4.6,4.6,4.1,4.1,0.7,0.7,40.6,40.6,0.3,0.3,0.0,0.0,0.0
Cz,202007,373.0,15.0,5.5,3.3,3.3,4.7,30.599999999999998,25.9,10.6,10.6,3.9,5.9,2.0,0.1,0.1,5.0,5.0,5.2,5.2,0.5,0.5,38.6,38.6,0.2,0.2,0.0,0.0,0.0
Cz,202008,379.0,13.0,6.2,3.2,3.2,4.8,33.6,28.8,7.0,7.0,2.8,4.5,1.7,0.1,0.1,4.3,4.3,4.2,4.2,0.6,0.6,42.2,42.2,0.3,0.3,0.0,0.0,0.0
Cz,202009,396.0,12.0,6.2,3.7,3.7,4.9,38.4,33.5,1.6,1.6,2.4,4.1,1.7,0.1,0.1,4.3,4.3,3.6,3.6,0.6,0.6,43.4,43.4,0.2,0.2,0.0,0.0,0.0
Cz,202010,437.0,11.0,6.6,3.3,3.3,5.1,42.1,37.0,3.7,3.7,3.4,5.0,1.6,0.1,0.1,4.1,4.1,1.5,1.5,1.0,1.0,39.0,39.0,0.2,0.2,0.0,0.0,0.0
Cz,202011,489.0,10.0,7.2,3.3,3.3,6.0,46.1,40.1,7.7,7.7,3.3,4.8,1.5,0.2,0.2,3.6,3.6,0.7,0.7,0.8,0.8,32.6,32.6,0.2,0.2,0.0,0.0,0.0
Cz,202012,466.0,9.0,7.2,3.1,3.1,6.5,43.4,36.9,8.2,8.2,2.3,4.0,1.7,0.2,0.2,3.7,3.7,0.4,0.4,1.1,1.1,35.7,35.7,0.2,0.2,0.0,0.0,0.0
Cz,202101,489.0,8.0,7.7,3.0,3.0,5.6,46.2,40.6,8.1,8.1,2.4,3.9,1.5,0.1,0.1,3.4,3.4,0.5,0.5,0.8,0.8,33.8,33.8,0.2,0.2,0.0,0.0,0.0
Cz,202102,459.0,11.0,6.8,3.2,3.2,6.4,43.0,36.6,8.0,8.0,4.3,5.9,1.6,0.1,0.1,3.5,3.5,1.2,1.2,0.6,0.6,34.5,34.5,0.0,0.0,0.0,0.0,0.0
