country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Dk,201801,317.0,61.0,3.1,17.4,17.4,22.2,22.2,0.0,12.6,12.6,0.0,0.0,0.0,0.8,0.8,0.1,0.1,0.4,0.4,28.1,42.900000000000006,0.0,0.0,3.6,3.6,14.8,0.0,0.0
Dk,201802,365.0,55.0,3.1,17.3,17.3,28.4,28.4,0.0,13.1,13.1,0.0,0.0,0.0,0.7,0.7,0.1,0.1,1.1,1.1,24.3,36.2,0.0,0.0,3.1,3.1,11.9,0.0,0.0
Dk,201803,381.0,54.0,3.6,16.4,16.4,32.9,32.9,0.0,9.8,9.8,0.0,0.0,0.0,0.6,0.6,0.1,0.1,1.4,1.4,25.0,36.1,0.0,0.0,2.7,2.7,11.1,0.0,0.0
Dk,201804,313.0,62.0,2.6,13.4,13.4,25.1,25.1,0.0,8.4,8.4,0.0,0.0,0.0,0.7,0.7,0.0,0.0,4.0,4.0,29.6,44.5,0.0,0.0,3.9,3.9,14.9,0.0,0.0
Dk,201805,272.0,66.0,1.7,10.6,10.6,19.4,19.4,0.0,7.9,7.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,30.7,45.6,0.0,0.0,5.5,5.5,14.9,0.0,0.0
Dk,201806,191.0,73.0,1.6,0.9,0.9,11.3,11.3,0.0,7.2,7.2,0.0,0.0,0.0,0.9,0.9,0.1,0.1,9.9,9.9,43.7,62.6,0.0,0.0,7.1,7.1,18.9,0.0,0.0
Dk,201807,308.0,59.0,1.5,0.6,0.6,25.7,25.7,0.0,7.2,7.2,0.0,0.0,0.0,0.9,0.9,0.1,0.1,10.8,10.8,33.8,47.3,0.0,0.0,7.4,7.4,13.5,0.0,0.0
Dk,201808,208.0,74.0,1.7,11.1,11.1,11.7,11.7,0.0,7.5,7.5,0.0,0.0,0.0,0.7,0.7,0.1,0.1,6.4,6.4,38.2,56.6,0.0,0.0,5.9,5.9,18.4,0.0,0.0
Dk,201809,177.0,78.0,2.2,8.1,8.1,11.0,11.0,0.0,6.7,6.7,0.0,0.0,0.0,0.5,0.5,0.1,0.1,3.6,3.6,45.6,66.2,0.0,0.0,3.8,3.8,20.6,0.0,0.0
Dk,201810,230.0,72.0,2.7,12.7,12.7,15.0,15.0,0.0,7.9,7.9,0.0,0.0,0.0,0.5,0.5,0.1,0.1,2.1,2.1,39.1,57.0,0.0,0.0,4.7,4.7,17.9,0.0,0.0
Dk,201811,297.0,64.0,2.5,17.8,17.8,20.3,20.3,0.0,11.4,11.4,0.0,0.0,0.0,0.7,0.7,0.1,0.1,0.7,0.7,30.9,45.099999999999994,0.0,0.0,3.9,3.9,14.2,0.0,0.0
Dk,201812,312.0,61.0,3.2,14.6,14.6,23.9,23.9,0.0,10.6,10.6,0.0,0.0,0.0,0.7,0.7,0.1,0.1,0.3,0.3,31.8,46.5,0.0,0.0,3.3,3.3,14.7,0.0,0.0
Dk,201901,313.0,61.0,3.5,16.2,16.2,23.0,23.0,0.0,11.3,11.3,0.0,0.0,0.0,0.8,0.8,0.1,0.1,0.5,0.5,31.9,44.7,0.0,0.0,3.4,3.4,12.8,0.0,0.0
Dk,201902,285.0,65.0,2.8,15.7,15.7,19.4,19.4,0.0,11.0,11.0,0.0,0.0,0.0,0.7,0.7,0.1,0.1,1.4,1.4,32.9,47.599999999999994,0.0,0.0,4.1,4.1,14.7,0.0,0.0
Dk,201903,226.0,73.0,3.2,13.0,13.0,14.7,14.7,0.0,8.4,8.4,0.0,0.0,0.0,0.9,0.9,0.1,0.1,2.3,2.3,40.5,57.3,0.0,0.0,3.3,3.3,16.8,0.0,0.0
Dk,201904,259.0,69.0,2.1,14.4,14.4,16.7,16.7,0.0,8.2,8.2,0.0,0.0,0.0,1.0,1.0,0.1,0.1,6.8,6.8,30.6,47.400000000000006,0.0,0.0,5.4,5.4,16.8,0.0,0.0
Dk,201905,164.0,80.0,2.3,9.6,9.6,8.3,8.3,0.0,6.4,6.4,0.0,0.0,0.0,1.0,1.0,0.1,0.1,5.9,5.9,41.6,64.5,0.0,0.0,4.2,4.2,22.9,0.0,0.0
Dk,201906,143.0,80.0,1.5,3.3,3.3,5.6,5.6,0.0,7.0,7.0,0.0,0.0,0.0,1.2,1.2,0.1,0.1,10.0,10.0,40.1,67.1,0.0,0.0,5.7,5.7,27.0,0.0,0.0
Dk,201907,154.0,79.0,1.6,5.9,5.9,5.5,5.5,0.0,8.1,8.1,0.0,0.0,0.0,1.3,1.3,0.1,0.1,8.6,8.6,41.0,64.8,0.0,0.0,5.7,5.7,23.8,0.0,0.0
Dk,201908,204.0,72.0,1.5,7.5,7.5,8.3,8.3,0.0,10.4,10.4,0.0,0.0,0.0,1.8,1.8,0.2,0.2,8.0,8.0,39.3,56.5,0.0,0.0,7.3,7.3,17.2,0.0,0.0
Dk,201909,159.0,79.0,2.1,8.2,8.2,6.0,6.0,0.0,7.6,7.6,0.0,0.0,0.0,1.2,1.2,0.2,0.2,3.9,3.9,43.6,67.1,0.0,0.0,5.8,5.8,23.5,0.0,0.0
Dk,201910,201.0,75.0,2.2,16.0,16.0,8.7,8.7,0.0,9.9,9.9,0.1,0.1,0.0,0.8,0.8,0.1,0.1,2.1,2.1,33.1,57.1,0.0,0.0,5.2,5.2,24.0,0.0,0.0
Dk,201911,253.0,69.0,2.6,18.1,18.1,14.2,14.2,0.0,11.1,11.1,0.1,0.1,0.0,0.7,0.7,0.1,0.1,0.5,0.5,28.0,50.2,0.0,0.0,5.0,5.0,22.2,0.0,0.0
Dk,201912,229.0,73.0,3.3,15.6,15.6,14.4,14.4,0.0,8.3,8.3,0.0,0.0,0.0,0.6,0.6,0.1,0.1,0.4,0.4,35.4,56.8,0.0,0.0,3.8,3.8,21.4,0.0,0.0
Dk,202001,206.0,76.0,3.5,13.5,13.5,13.6,13.6,0.0,6.4,6.4,0.0,0.0,0.0,0.6,0.6,0.1,0.1,0.4,0.4,39.7,62.1,0.0,0.0,3.3,3.3,22.4,0.0,0.0
Dk,202002,210.0,75.0,3.3,11.1,11.1,15.7,15.7,0.0,5.4,5.4,0.1,0.1,0.0,0.6,0.6,0.1,0.1,0.8,0.8,41.5,63.3,0.0,0.0,2.9,2.9,21.8,0.0,0.0
