country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Es,201801,245.0,40.0,21.7,1.1,1.1,12.9,14.200000000000001,1.3,20.1,20.1,11.7,11.7,0.0,1.0,1.0,0.5,0.5,2.5,2.5,24.3,24.3,23.5,23.5,1.1,1.1,0.0,0.0,0.0
Es,201802,261.0,40.0,20.7,1.2,1.2,15.3,17.0,1.7,18.5,18.5,12.7,12.7,0.0,1.0,1.0,0.5,0.5,3.5,3.5,22.5,22.5,22.1,22.1,1.0,1.0,0.0,0.0,0.0
Es,201803,148.0,58.0,23.1,1.0,1.0,5.7,5.8,0.1,14.0,14.0,20.6,20.6,0.0,1.0,1.0,0.5,0.5,3.5,3.5,33.2,33.2,19.4,19.4,1.0,1.0,0.0,0.0,0.0
Es,201804,169.0,55.0,19.4,1.0,1.0,7.2,7.2,0.0,15.8,15.8,25.7,25.7,0.0,0.9,0.9,0.4,0.4,5.3,5.3,22.8,22.8,19.7,19.7,1.2,1.2,0.0,0.0,0.0
Es,201805,236.0,44.0,18.8,1.3,1.3,11.6,12.2,0.6,21.0,21.0,18.9,18.9,0.0,1.1,1.1,0.6,0.6,6.8,6.8,17.3,17.3,19.9,19.9,0.9,0.9,0.0,0.0,0.0
Es,201806,249.0,43.0,18.5,1.4,1.4,11.2,12.5,1.3,22.8,22.8,19.9,19.9,0.0,1.1,1.1,0.6,0.6,7.3,7.3,13.9,13.9,19.5,19.5,1.0,1.0,0.0,0.0,0.0
Es,201807,280.0,37.0,20.5,1.3,1.3,15.1,17.3,2.2,21.1,21.1,14.7,14.7,0.0,1.0,1.0,0.6,0.6,8.8,8.8,12.1,12.1,22.0,22.0,1.1,1.1,0.0,0.0,0.0
Es,201808,281.0,34.0,21.0,1.3,1.3,15.6,17.0,1.4,22.4,22.4,10.4,10.4,0.0,1.0,1.0,0.5,0.5,7.3,7.3,14.5,14.5,24.5,24.5,1.1,1.1,0.0,0.0,0.0
Es,201809,311.0,29.0,19.8,1.4,1.4,18.5,21.0,2.5,21.4,21.4,10.1,10.1,0.0,1.1,1.1,0.5,0.5,5.8,5.8,12.1,12.1,25.4,25.4,1.2,1.2,0.0,0.0,0.0
Es,201810,274.0,34.0,20.9,1.2,1.2,14.6,16.2,1.6,22.3,22.3,8.3,8.3,0.0,1.1,1.1,0.6,0.6,4.1,4.1,20.4,20.4,24.7,24.7,1.1,1.1,0.0,0.0,0.0
Es,201811,304.0,36.0,21.1,1.2,1.2,17.3,18.6,1.3,25.1,25.1,11.1,11.1,0.0,1.0,1.0,0.5,0.5,2.1,2.1,21.4,21.4,18.0,18.0,1.0,1.0,0.0,0.0,0.0
Es,201812,266.0,38.0,20.5,1.2,1.2,13.0,14.1,1.1,24.7,24.7,13.1,13.1,0.0,0.9,0.9,0.6,0.6,2.6,2.6,21.0,21.0,20.8,20.8,1.0,1.0,0.0,0.0,0.0
Es,201901,251.0,40.0,23.5,1.1,1.1,11.7,13.2,1.5,23.5,23.5,10.1,10.1,0.0,0.8,0.8,0.5,0.5,2.8,2.8,25.5,25.5,21.5,21.5,1.0,1.0,0.0,0.0,0.0
Es,201902,239.0,38.0,19.5,1.2,1.2,10.8,11.600000000000001,0.8,23.3,23.3,13.9,13.9,0.0,0.9,0.9,0.5,0.5,4.6,4.6,18.6,18.6,24.4,24.4,1.0,1.0,0.0,0.0,0.0
Es,201903,177.0,44.0,19.8,1.3,1.3,4.3,4.3,0.0,22.2,22.2,12.0,12.0,0.0,1.0,1.0,0.6,0.6,6.4,6.4,24.3,24.3,26.8,26.8,1.1,1.1,0.0,0.0,0.0
Es,201904,193.0,42.0,18.6,0.8,0.8,4.1,4.1,0.0,26.3,26.3,11.1,11.1,0.0,1.0,1.0,0.6,0.6,5.5,5.5,24.7,24.7,24.8,24.8,1.1,1.1,0.0,0.0,0.0
Es,201905,201.0,44.0,19.4,1.2,1.2,1.9,1.9,0.0,31.4,31.4,10.4,10.4,0.0,1.0,1.0,0.6,0.6,8.5,8.5,23.5,23.5,20.5,20.5,1.0,1.0,0.0,0.0,0.0
Es,201906,229.0,35.0,19.6,1.2,1.2,2.3,2.3,0.0,36.8,36.8,8.4,8.4,0.0,0.9,0.9,0.5,0.5,8.7,8.7,16.3,16.3,23.8,23.8,1.1,1.1,0.0,0.0,0.0
Es,201907,253.0,31.0,22.3,1.2,1.2,3.1,3.1,0.0,41.0,41.0,7.2,7.2,0.0,0.8,0.8,0.4,0.4,7.9,7.9,14.4,14.4,23.0,23.0,1.0,1.0,0.0,0.0,0.0
Es,201908,254.0,29.0,21.2,1.3,1.3,1.9,1.9,0.0,42.8,42.8,6.3,6.3,0.0,0.8,0.8,0.5,0.5,8.7,8.7,12.6,12.6,24.0,24.0,1.1,1.1,0.0,0.0,0.0
Es,201909,231.0,33.0,20.1,1.2,1.2,2.4,2.4,0.0,37.1,37.1,6.8,6.8,0.0,1.0,1.0,0.5,0.5,6.6,6.6,18.5,18.5,24.8,24.8,1.1,1.1,0.0,0.0,0.0
Es,201910,251.0,32.0,19.8,1.3,1.3,3.6,3.6,0.0,39.2,39.2,6.5,6.5,0.0,1.0,1.0,0.6,0.6,5.6,5.6,18.4,18.4,22.8,22.8,1.0,1.0,0.0,0.0,0.0
Es,201911,187.0,51.0,21.5,1.2,1.2,2.7,2.7,0.0,28.1,28.1,13.5,13.5,0.0,0.8,0.8,0.4,0.4,2.8,2.8,33.4,33.4,16.1,16.1,1.0,1.0,0.0,0.0,0.0
Es,201912,158.0,52.0,21.0,1.2,1.2,2.0,2.0,0.0,23.2,23.2,23.7,23.7,0.0,0.6,0.6,0.5,0.5,2.7,2.7,24.4,24.4,20.7,20.7,1.0,1.0,0.0,0.0,0.0
Es,202001,187.0,44.0,21.7,1.3,1.3,4.2,4.2,0.0,25.3,25.3,18.4,18.4,0.0,0.6,0.6,0.6,0.6,3.3,3.3,21.0,21.0,24.3,24.3,1.0,1.0,0.0,0.0,0.0
Es,202002,178.0,45.0,19.3,1.5,1.5,4.5,4.5,0.0,22.9,22.9,16.1,16.1,0.0,0.5,0.5,0.6,0.6,6.2,6.2,21.5,21.5,25.2,25.2,1.0,1.0,0.0,0.0,0.0
Es,202003,135.0,53.0,20.0,1.4,1.4,2.6,2.6,0.0,16.8,16.8,17.3,17.3,0.0,0.7,0.7,0.6,0.6,6.5,6.5,27.3,27.3,25.8,25.8,1.0,1.0,0.0,0.0,0.0
