country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Fi,201801,236.0,39.0,6.5,10.6,10.6,17.4,17.4,0.0,9.4,9.4,21.5,21.5,0.0,0.0,0.0,2.1,2.1,0.0,0.0,7.0,7.0,31.8,31.8,0.2,0.2,0.0,0.0,0.0
Fi,201802,263.0,38.0,6.4,10.7,10.7,19.3,19.3,0.0,10.1,10.1,20.6,20.6,0.0,0.0,0.0,3.6,3.6,0.0,0.0,6.3,6.3,29.3,29.3,0.1,0.1,0.0,0.0,0.0
Fi,201803,279.0,35.0,6.9,10.3,10.3,20.7,20.7,0.0,10.1,10.1,18.3,18.3,0.0,0.0,0.0,4.6,4.6,0.0,0.0,6.1,6.1,29.7,29.7,0.2,0.2,0.0,0.0,0.0
Fi,201804,222.0,38.0,5.1,9.4,9.4,17.9,17.9,0.0,5.4,5.4,23.1,23.1,0.0,0.0,0.0,2.4,2.4,0.0,0.0,5.9,5.9,35.5,35.5,0.4,0.4,0.0,0.0,0.0
Fi,201805,154.0,50.0,4.6,9.0,9.0,10.7,10.7,0.0,3.5,3.5,32.6,32.6,0.0,0.0,0.0,2.2,2.2,0.0,0.0,8.7,8.7,32.8,32.8,0.5,0.5,0.0,0.0,0.0
Fi,201806,160.0,44.0,3.9,10.0,10.0,11.2,11.2,0.0,3.9,3.9,22.1,22.1,0.0,0.0,0.0,2.3,2.3,0.0,0.0,12.0,12.0,38.3,38.3,0.2,0.2,0.0,0.0,0.0
Fi,201807,203.0,33.0,4.3,10.0,10.0,15.1,15.1,0.0,4.0,4.0,16.8,16.8,0.0,0.0,0.0,4.1,4.1,0.0,0.0,5.9,5.9,43.6,43.6,0.5,0.5,0.0,0.0,0.0
Fi,201808,184.0,37.0,4.2,9.9,9.9,11.1,11.1,0.0,8.3,8.3,15.9,15.9,0.0,0.0,0.0,2.8,2.8,0.0,0.0,11.0,11.0,40.4,40.4,0.6,0.6,0.0,0.0,0.0
Fi,201809,194.0,40.0,4.4,9.5,9.5,12.2,12.2,0.0,9.3,9.3,17.2,17.2,0.0,0.0,0.0,2.3,2.3,0.0,0.0,13.0,13.0,36.0,36.0,0.5,0.5,0.0,0.0,0.0
Fi,201810,205.0,41.0,5.2,11.0,11.0,14.6,14.6,0.0,8.1,8.1,18.8,18.8,0.0,0.1,0.1,1.4,1.4,0.0,0.0,10.7,10.7,35.0,35.0,0.3,0.3,0.0,0.0,0.0
Fi,201811,227.0,38.0,5.7,10.3,10.3,17.1,17.1,0.0,8.0,8.0,16.2,16.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.2,11.2,34.7,34.7,0.5,0.5,0.0,0.0,0.0
Fi,201812,263.0,33.0,6.1,10.1,10.1,19.6,19.6,0.0,10.5,10.5,15.3,15.3,0.0,0.0,0.0,2.6,2.6,0.0,0.0,7.2,7.2,34.0,34.0,0.7,0.7,0.0,0.0,0.0
Fi,201901,288.0,31.0,6.5,9.7,9.7,21.6,21.6,0.0,11.0,11.0,14.5,14.5,0.0,0.0,0.0,3.9,3.9,0.0,0.0,6.8,6.8,31.8,31.8,0.7,0.7,0.0,0.0,0.0
Fi,201902,247.0,36.0,5.6,10.1,10.1,18.4,18.4,0.0,10.2,10.2,14.1,14.1,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.4,11.4,33.4,33.4,0.4,0.4,0.0,0.0,0.0
