country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Fr,201801,49.0,20.0,55.4,0.4,0.4,0.6,0.6,0.0,5.3,5.3,11.7,12.7,1.0,0.3,0.3,0.0,0.0,0.5,0.5,6.6,6.6,73.3,73.3,0.3,0.3,0.0,0.0,0.0
Fr,201802,79.0,20.0,52.7,0.6,0.6,2.0,2.0,0.0,8.8,8.8,12.1,13.1,1.0,0.5,0.5,0.0,0.0,0.9,0.9,4.9,4.9,68.9,68.9,0.3,0.3,0.0,0.0,0.0
Fr,201803,69.0,21.0,51.2,0.6,0.6,1.6,1.6,0.0,7.3,7.3,12.3,13.3,1.0,0.4,0.4,0.0,0.0,1.4,1.4,5.6,5.6,69.4,69.4,0.4,0.4,0.0,0.0,0.0
Fr,201804,36.0,24.0,41.9,1.0,1.0,0.6,0.6,0.0,2.0,2.0,14.9,15.8,0.9,0.3,0.3,0.0,0.0,2.2,2.2,4.9,4.9,72.8,72.8,0.4,0.4,0.0,0.0,0.0
Fr,201805,31.0,25.0,41.8,0.7,0.7,0.4,0.4,0.0,1.5,1.5,16.6,17.6,1.0,0.3,0.3,0.0,0.0,2.5,2.5,3.8,3.8,72.8,72.8,0.4,0.4,0.0,0.0,0.0
Fr,201806,35.0,25.0,39.8,0.6,0.6,0.7,0.7,0.0,1.8,1.8,17.3,18.3,1.0,0.3,0.3,0.0,0.0,2.9,2.9,3.4,3.4,71.6,71.6,0.4,0.4,0.0,0.0,0.0
Fr,201807,55.0,20.0,40.7,0.7,0.7,1.4,1.4,0.0,4.7,4.7,11.7,12.7,1.0,0.3,0.3,0.0,0.0,3.3,3.3,2.9,2.9,73.5,73.5,0.5,0.5,0.0,0.0,0.0
Fr,201808,57.0,18.0,36.5,0.7,0.7,1.4,1.4,0.0,4.9,4.9,9.3,10.4,1.1,0.4,0.4,0.0,0.0,3.4,3.4,3.9,3.9,74.4,74.4,0.5,0.5,0.0,0.0,0.0
Fr,201809,48.0,16.0,38.3,0.9,0.9,0.9,0.9,0.0,4.2,4.2,6.9,7.9,1.0,0.3,0.3,0.0,0.0,2.8,2.8,4.2,4.2,78.4,78.4,0.4,0.4,0.0,0.0,0.0
Fr,201810,67.0,15.0,41.6,0.7,0.7,2.0,2.0,0.0,6.6,6.6,5.9,7.1,1.2,0.3,0.3,0.0,0.0,1.7,1.7,5.7,5.7,75.6,75.6,0.3,0.3,0.0,0.0,0.0
