country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Gr,202001,479.0,27.0,3.9,0.0,0.0,0.0,27.5,27.5,45.5,45.5,5.5,6.0,0.5,0.0,0.0,0.0,0.0,5.7,5.7,15.3,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202002,441.0,33.0,3.1,0.0,0.0,0.0,25.1,25.1,41.9,41.9,3.5,4.2,0.7,0.0,0.0,0.0,0.0,8.8,8.8,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202003,370.0,40.0,2.8,0.0,0.0,0.0,16.4,16.4,43.2,43.2,5.0,6.4,1.4,0.0,0.0,0.0,0.0,11.3,11.3,22.7,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202004,341.0,44.0,2.6,0.0,0.0,0.0,12.8,12.8,43.6,43.6,5.6,7.9,2.3,0.0,0.0,0.0,0.0,13.2,13.2,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202005,337.0,41.0,2.6,0.0,0.0,0.0,8.2,8.2,51.2,51.2,8.0,9.4,1.4,0.0,0.0,0.0,0.0,15.8,15.8,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202006,333.0,41.0,2.9,0.0,0.0,0.0,7.5,7.5,51.7,51.7,10.3,12.1,1.8,0.0,0.0,0.0,0.0,14.7,14.7,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202007,344.0,38.0,3.9,0.0,0.0,0.0,7.7,7.7,53.9,53.9,8.2,9.7,1.5,0.0,0.0,0.0,0.0,11.8,11.8,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202008,365.0,36.0,3.6,0.0,0.0,0.0,9.6,9.6,54.6,54.6,8.0,9.2,1.2,0.0,0.0,0.0,0.0,12.4,12.4,14.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202009,332.0,42.0,3.5,0.0,0.0,0.0,9.1,9.1,48.9,48.9,6.5,7.6,1.1,0.0,0.0,0.0,0.0,10.6,10.6,23.8,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202010,376.0,35.0,2.9,0.0,0.0,0.0,12.0,12.0,52.7,52.7,5.3,6.4,1.1,0.0,0.0,0.0,0.0,11.1,11.1,17.8,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202011,391.0,38.0,3.4,0.0,0.0,0.0,18.4,18.4,44.1,44.1,5.2,5.9,0.7,0.0,0.0,0.0,0.0,6.6,6.6,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202012,438.0,31.0,3.9,0.0,0.0,0.0,21.8,21.8,47.7,47.7,4.0,5.0,1.0,0.0,0.0,0.0,0.0,3.9,3.9,21.6,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202101,328.0,47.0,4.3,0.0,0.0,0.0,13.6,13.6,39.9,39.9,14.8,16.9,2.1,0.0,0.0,0.0,0.0,4.9,4.9,24.7,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202102,289.0,57.0,3.4,0.0,0.0,0.0,15.4,15.4,27.7,27.7,22.9,25.4,2.5,0.0,0.0,0.0,0.0,8.5,8.5,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202103,382.0,40.0,3.5,0.0,0.0,0.0,18.7,18.7,41.2,41.2,7.1,7.9,0.8,0.0,0.0,0.0,0.0,11.0,11.0,21.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202104,371.0,37.0,3.4,0.0,0.0,0.0,12.4,12.4,50.8,50.8,5.3,6.5,1.2,0.0,0.0,0.0,0.0,12.0,12.0,18.3,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202105,331.0,45.0,3.1,0.0,0.0,0.0,12.1,12.1,42.6,42.6,8.7,10.8,2.1,0.0,0.0,0.0,0.0,16.0,16.0,18.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202106,373.0,33.0,3.4,0.0,0.0,0.0,7.6,7.6,59.9,59.9,8.8,10.8,2.0,0.0,0.0,0.0,0.0,13.6,13.6,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202107,363.0,37.0,4.7,0.0,0.0,0.0,10.2,10.2,53.3,53.3,9.1,10.7,1.6,0.0,0.0,0.0,0.0,10.8,10.8,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202108,391.0,34.0,4.5,0.0,0.0,0.0,14.1,14.1,51.7,51.7,8.6,10.1,1.5,0.0,0.0,0.0,0.0,10.7,10.7,13.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202109,362.0,36.0,3.8,0.0,0.0,0.0,9.5,9.5,54.5,54.5,5.4,6.3,0.9,0.0,0.0,0.0,0.0,10.6,10.6,19.1,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202110,344.0,40.0,3.9,0.0,0.0,0.0,9.5,9.5,50.8,50.8,5.2,6.5,1.3,0.0,0.0,0.0,0.0,8.0,8.0,25.2,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202111,351.0,37.0,3.5,0.0,0.0,0.0,8.6,8.6,54.3,54.3,5.8,6.6,0.8,0.0,0.0,0.0,0.0,6.0,6.0,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202112,318.0,46.0,4.6,0.0,0.0,0.0,10.6,10.6,43.4,43.4,15.4,17.5,2.1,0.0,0.0,0.0,0.0,5.0,5.0,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202201,331.0,46.0,4.0,0.0,0.0,0.0,13.0,13.0,41.4,41.4,15.1,16.9,1.8,0.0,0.0,0.0,0.0,7.5,7.5,21.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202202,358.0,40.0,3.3,0.0,0.0,0.0,12.8,12.8,47.5,47.5,5.5,6.4,0.9,0.0,0.0,0.0,0.0,9.9,9.9,23.4,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202203,380.0,37.0,4.5,0.0,0.0,0.0,15.1,15.1,47.7,47.7,6.7,7.6,0.9,0.0,0.0,0.0,0.0,9.8,9.8,19.8,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202204,248.0,58.0,2.6,0.0,0.0,0.0,6.8,6.8,34.9,34.9,7.4,9.0,1.6,0.0,0.0,0.0,0.0,20.1,20.1,29.2,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202205,297.0,49.0,2.9,0.0,0.0,0.0,7.8,7.8,43.1,43.1,8.6,10.7,2.1,0.0,0.0,0.0,0.0,20.4,20.4,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202206,339.0,44.0,3.9,0.0,0.0,0.0,12.2,12.2,44.2,44.2,7.8,9.8,2.0,0.0,0.0,0.0,0.0,15.7,15.7,18.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202207,363.0,40.0,5.2,0.0,0.0,0.0,14.3,14.3,45.3,45.3,7.0,8.6,1.6,0.0,0.0,0.0,0.0,13.2,13.2,18.6,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202208,395.0,36.0,4.8,0.0,0.0,0.0,17.0,17.0,47.0,47.0,7.6,9.0,1.4,0.0,0.0,0.0,0.0,12.7,12.7,14.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202209,331.0,46.0,3.2,0.0,0.0,0.0,12.4,12.4,41.9,41.9,7.2,8.5,1.3,0.0,0.0,0.0,0.0,17.6,17.6,19.6,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202210,254.0,60.0,2.9,0.0,0.0,0.0,10.0,10.0,30.5,30.5,5.6,7.2,1.6,0.0,0.0,0.0,0.0,17.7,17.7,34.6,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202211,313.0,47.0,3.1,0.0,0.0,0.0,10.7,10.7,41.9,41.9,5.5,6.9,1.4,0.0,0.0,0.0,0.0,10.7,10.7,29.8,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr,202212,378.0,37.0,3.4,0.0,0.0,0.0,14.5,14.5,48.5,48.5,7.3,8.5,1.2,0.0,0.0,0.0,0.0,8.2,8.2,20.3,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
