country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Hr,202001,218.0,64.0,1.1,3.7,3.7,5.0,5.0,0.0,27.1,27.1,46.2,48.9,2.7,0.7,0.7,2.7,2.7,0.3,0.3,10.7,10.7,0.0,0.0,0.2,0.2,0.0,0.7,0.7
Hr,202002,284.0,56.0,1.0,3.8,3.8,13.4,13.4,0.0,27.3,27.3,34.4,37.9,3.5,0.4,0.4,2.9,2.9,0.4,0.4,13.0,13.0,0.0,0.0,0.2,0.2,0.0,0.7,0.7
Hr,202003,182.0,71.0,1.0,4.3,4.3,4.4,4.4,0.0,21.0,21.0,40.8,46.0,5.2,0.0,0.0,3.1,3.1,0.6,0.6,19.7,19.7,0.0,0.0,0.2,0.2,0.0,0.7,0.7
Hr,202004,125.0,82.0,0.0,7.1,7.1,0.6,0.6,0.0,12.0,12.0,46.8,51.1,4.3,0.0,0.0,4.9,4.9,1.5,1.5,21.5,21.5,0.0,0.0,0.2,0.2,0.0,1.1,1.1
Hr,202005,176.0,70.0,0.0,5.2,5.2,0.0,0.0,0.0,26.0,26.0,37.3,40.3,3.0,0.0,0.0,3.8,3.8,1.1,1.1,22.4,22.4,0.0,0.0,0.2,0.2,0.0,1.0,1.0
Hr,202006,269.0,59.0,0.0,4.5,4.5,13.2,13.2,0.0,23.8,23.8,36.4,41.4,5.0,0.0,0.0,3.6,3.6,1.1,1.1,11.4,11.4,0.0,0.0,0.2,0.2,0.0,0.8,0.8
Hr,202007,313.0,51.0,0.0,4.7,4.7,15.2,15.2,0.0,29.5,29.5,30.1,30.6,0.5,0.0,0.0,3.9,3.9,1.2,1.2,14.1,14.1,0.0,0.0,0.1,0.1,0.0,0.7,0.7
Hr,202008,311.0,52.0,0.0,3.9,3.9,16.2,16.2,0.0,27.6,27.6,29.9,31.4,1.5,0.0,0.0,3.9,3.9,1.1,1.1,15.1,15.1,0.0,0.0,0.2,0.2,0.0,0.6,0.6
Hr,202009,288.0,55.0,0.0,4.2,4.2,12.6,12.6,0.0,29.0,29.0,30.0,33.1,3.1,0.0,0.0,3.6,3.6,1.0,1.0,15.5,15.5,0.0,0.0,0.2,0.2,0.0,0.8,0.8
Hr,202010,223.0,66.0,1.3,3.4,3.4,10.0,10.0,0.0,20.7,20.7,46.2,51.7,5.5,0.0,0.0,2.8,2.8,0.4,0.4,10.2,10.2,0.0,0.0,0.2,0.2,0.0,0.6,0.6
Hr,202011,267.0,58.0,1.1,4.0,4.0,11.1,11.1,0.0,27.1,27.1,38.3,40.5,2.2,0.5,0.5,3.0,3.0,0.3,0.3,12.7,12.7,0.0,0.0,0.2,0.2,0.0,0.6,0.6
Hr,202012,198.0,70.0,1.6,3.1,3.1,7.4,7.4,0.0,20.0,20.0,49.9,55.0,5.1,0.5,0.5,2.2,2.2,0.1,0.1,11.3,11.3,0.0,0.0,0.2,0.2,0.0,0.2,0.2
Hr,202101,181.0,73.0,1.7,3.0,3.0,7.0,7.0,0.0,17.4,17.4,50.5,55.8,5.3,0.5,0.5,2.0,2.0,0.2,0.2,13.6,13.6,0.0,0.0,0.1,0.1,0.0,0.4,0.4
Hr,202102,180.0,74.0,1.4,3.0,3.0,8.2,8.2,0.0,14.8,14.8,54.0,59.0,5.0,0.6,0.6,2.2,2.2,0.3,0.3,11.4,11.4,0.0,0.0,0.1,0.1,0.0,0.4,0.4
Hr,202103,215.0,69.0,1.3,3.5,3.5,10.5,10.5,0.0,17.4,17.4,46.9,48.6,1.7,0.6,0.6,2.8,2.8,0.6,0.6,15.3,15.3,0.0,0.0,0.2,0.2,0.0,0.5,0.5
Hr,202104,140.0,78.0,1.0,4.4,4.4,0.7,0.7,0.0,16.7,16.7,53.7,56.1,2.4,0.7,0.7,3.4,3.4,0.7,0.7,16.4,16.4,0.0,0.0,0.3,0.3,0.0,0.6,0.6
Hr,202105,94.0,88.0,0.0,4.4,4.4,0.1,0.1,0.0,8.5,8.5,65.0,66.8,1.8,0.0,0.0,3.6,3.6,1.0,1.0,14.7,14.7,0.0,0.0,0.3,0.3,0.0,0.6,0.6
Hr,202106,238.0,68.0,0.0,5.1,5.1,15.4,15.4,0.0,12.9,12.9,48.5,49.7,1.2,0.0,0.0,3.7,3.7,1.4,1.4,11.0,11.0,0.0,0.0,0.3,0.3,0.0,0.5,0.5
Hr,202107,291.0,56.0,0.0,5.0,5.0,15.5,15.5,0.0,24.2,24.2,36.3,36.7,0.4,0.0,0.0,3.6,3.6,1.2,1.2,12.8,12.8,0.0,0.0,0.3,0.3,0.0,0.7,0.7
Hr,202108,280.0,58.0,0.0,4.5,4.5,14.6,14.6,0.0,24.0,24.0,36.7,37.3,0.6,0.0,0.0,3.4,3.4,1.1,1.1,14.1,14.1,0.0,0.0,0.3,0.3,0.0,0.7,0.7
Hr,202109,313.0,52.0,0.0,6.3,6.3,15.7,15.7,0.0,27.8,27.8,28.2,29.0,0.8,0.0,0.0,3.9,3.9,1.0,1.0,15.2,15.2,0.0,0.0,0.3,0.3,0.0,0.8,0.8
Hr,202110,303.0,52.0,1.0,5.3,5.3,13.6,13.6,0.0,30.6,30.6,22.3,24.0,1.7,0.0,0.0,3.3,3.3,0.6,0.6,21.7,21.7,0.0,0.0,0.2,0.2,0.0,0.7,0.7
Hr,202111,252.0,61.0,1.3,4.4,4.4,10.8,10.8,0.0,25.7,25.7,33.9,39.6,5.7,0.0,0.0,2.6,2.6,0.2,0.2,16.0,16.0,0.0,0.0,0.2,0.2,0.0,0.5,0.5
Hr,202112,163.0,77.0,1.6,3.7,3.7,7.3,7.3,0.0,13.2,13.2,49.7,56.7,7.0,0.0,0.0,2.2,2.2,0.2,0.2,16.0,16.0,0.0,0.0,0.2,0.2,0.0,0.5,0.5
Hr,202201,206.0,69.0,1.4,4.1,4.1,9.3,9.3,0.0,19.0,19.0,45.1,48.1,3.0,0.0,0.0,2.2,2.2,0.3,0.3,16.4,16.4,0.0,0.0,0.2,0.2,0.0,0.4,0.4
Hr,202202,265.0,59.0,1.1,4.6,4.6,11.4,11.4,0.0,27.1,27.1,33.6,36.6,3.0,0.0,0.0,2.7,2.7,0.4,0.4,16.7,16.7,0.0,0.0,0.2,0.2,0.0,0.3,0.3
Hr,202203,226.0,65.0,1.1,5.0,5.0,8.3,8.3,0.0,23.7,23.7,33.0,35.2,2.2,0.0,0.0,3.0,3.0,0.8,0.8,23.3,23.3,0.0,0.0,0.2,0.2,0.0,0.5,0.5
Hr,202204,184.0,72.0,0.0,5.5,5.5,4.8,4.8,0.0,20.3,20.3,38.2,41.7,3.5,0.0,0.0,3.0,3.0,1.0,1.0,22.7,22.7,0.0,0.0,0.3,0.3,0.0,0.7,0.7
