country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Hu,202201,255.0,10.0,3.0,3.3,3.3,0.0,8.1,8.1,30.7,30.7,0.4,0.4,0.0,0.0,0.0,2.2,2.2,3.8,3.8,2.7,2.7,48.4,48.4,0.4,0.4,0.0,0.0,0.0
Hu,202202,287.0,14.0,2.4,3.6,3.6,0.0,9.2,9.2,34.8,34.8,0.6,0.6,0.0,0.0,0.0,2.4,2.4,6.5,6.5,3.3,3.3,39.2,39.2,0.4,0.4,0.0,0.0,0.0
Hu,202203,240.0,15.0,2.9,3.5,3.5,0.0,8.5,8.5,26.4,26.4,0.8,0.8,0.0,0.1,0.1,2.1,2.1,8.9,8.9,1.4,1.4,48.0,48.0,0.3,0.3,0.0,0.0,0.0
Hu,202204,205.0,16.0,2.6,4.1,4.1,0.0,9.3,9.3,17.2,17.2,0.3,0.3,0.0,0.0,0.0,2.3,2.3,9.7,9.7,2.4,2.4,54.4,54.4,0.3,0.3,0.0,0.0,0.0
Hu,202205,208.0,18.0,2.6,3.4,3.4,0.0,9.4,9.4,18.0,18.0,0.6,0.6,0.0,0.1,0.1,2.1,2.1,12.8,12.8,1.1,1.1,52.3,52.3,0.2,0.2,0.0,0.0,0.0
Hu,202206,214.0,20.0,2.5,3.4,3.4,0.0,9.0,9.0,19.5,19.5,0.6,0.6,0.0,0.1,0.1,2.3,2.3,14.7,14.7,1.4,1.4,48.7,48.7,0.3,0.3,0.0,0.0,0.0
Hu,202207,210.0,19.0,2.8,3.1,3.1,0.0,7.6,7.6,21.5,21.5,0.3,0.3,0.0,0.1,0.1,2.1,2.1,14.0,14.0,1.6,1.6,49.2,49.2,0.5,0.5,0.0,0.0,0.0
Hu,202208,263.0,20.0,2.4,3.9,3.9,0.0,11.2,11.2,24.9,24.9,0.3,0.3,0.0,0.1,0.1,2.3,2.3,14.6,14.6,1.3,1.3,40.8,40.8,0.6,0.6,0.0,0.0,0.0
Hu,202209,254.0,16.0,2.2,3.0,3.0,0.0,10.4,10.4,25.6,25.6,0.5,0.5,0.0,0.0,0.0,2.3,2.3,10.6,10.6,1.5,1.5,45.6,45.6,0.5,0.5,0.0,0.0,0.0
Hu,202210,256.0,14.0,2.7,3.8,3.8,0.0,12.9,12.9,22.2,22.2,0.6,0.6,0.0,0.1,0.1,1.4,1.4,8.3,8.3,1.1,1.1,49.2,49.2,0.4,0.4,0.0,0.0,0.0
Hu,202211,278.0,11.0,2.3,4.6,4.6,0.5,9.9,9.4,31.3,31.3,0.8,0.8,0.0,0.1,0.1,2.2,2.2,4.0,4.0,1.3,1.3,45.2,45.2,0.6,0.6,0.0,0.0,0.0
Hu,202212,245.0,9.0,2.7,3.3,3.3,0.9,8.0,7.1,29.2,29.2,0.4,0.4,0.0,0.0,0.0,1.9,1.9,3.3,3.3,1.8,1.8,51.6,51.6,0.5,0.5,0.0,0.0,0.0
Hu,202301,218.0,10.0,2.6,3.0,3.0,0.9,8.7,7.8,25.1,25.1,0.4,0.4,0.0,0.1,0.1,1.4,1.4,3.8,3.8,2.3,2.3,54.8,54.8,0.4,0.4,0.0,0.0,0.0
Hu,202302,238.0,14.0,2.5,2.7,2.7,1.0,9.3,8.3,27.9,27.9,0.5,0.5,0.0,0.0,0.0,1.8,1.8,8.6,8.6,2.3,2.3,46.5,46.5,0.4,0.4,0.0,0.0,0.0
Hu,202303,225.0,18.0,2.6,2.9,2.9,1.0,10.3,9.3,21.5,21.5,0.4,0.4,0.0,0.1,0.1,2.1,2.1,12.3,12.3,2.6,2.6,47.4,47.4,0.4,0.4,0.0,0.0,0.0
Hu,202304,199.0,20.0,2.6,3.0,3.0,1.0,10.3,9.3,15.9,15.9,0.6,0.6,0.0,0.0,0.0,1.8,1.8,14.0,14.0,2.4,2.4,51.7,51.7,0.3,0.3,0.0,0.0,0.0
Hu,202305,201.0,27.0,2.3,2.3,2.3,1.2,9.1,7.9,18.0,18.0,1.2,1.2,0.0,0.0,0.0,2.3,2.3,22.2,22.2,1.7,1.7,42.7,42.7,0.5,0.5,0.0,0.0,0.0
Hu,202306,182.0,28.0,2.3,2.4,2.4,1.1,8.1,7.0,17.3,17.3,1.1,1.1,0.0,0.0,0.0,1.3,1.3,23.3,23.3,1.1,1.1,44.9,44.9,0.5,0.5,0.0,0.0,0.0
Hu,202307,190.0,24.0,2.8,1.1,1.1,1.0,8.0,7.0,19.7,19.7,0.7,0.7,0.0,0.0,0.0,1.5,1.5,21.0,21.0,1.1,1.1,46.3,46.3,0.6,0.6,0.0,0.0,0.0
Hu,202308,176.0,23.0,2.8,1.1,1.1,1.0,7.1,6.1,18.7,18.7,0.7,0.7,0.0,0.0,0.0,1.5,1.5,19.9,19.9,1.0,1.0,49.4,49.4,0.6,0.6,0.0,0.0,0.0
Hu,202309,177.0,22.0,2.7,1.5,1.5,0.8,7.6,6.8,18.1,18.1,0.5,0.5,0.0,0.0,0.0,1.3,1.3,18.4,18.4,1.2,1.2,50.9,50.9,0.5,0.5,0.0,0.0,0.0
Hu,202310,186.0,18.0,2.7,3.1,3.1,0.5,7.5,7.0,19.6,19.6,0.5,0.5,0.0,0.0,0.0,1.7,1.7,12.7,12.7,2.0,2.0,52.5,52.5,0.4,0.4,0.0,0.0,0.0
Hu,202311,232.0,15.0,2.6,3.2,3.2,1.0,9.5,8.5,25.8,25.8,0.6,0.6,0.0,0.0,0.0,1.6,1.6,8.0,8.0,2.7,2.7,48.0,48.0,0.6,0.6,0.0,0.0,0.0
Hu,202312,245.0,12.0,2.3,3.1,3.1,1.0,10.0,9.0,27.1,27.1,0.4,0.4,0.0,0.1,0.1,2.1,2.1,6.4,6.4,2.2,2.2,48.0,48.0,0.6,0.6,0.0,0.0,0.0
Hu,202401,216.0,14.0,2.8,3.0,3.0,0.9,7.7,6.8,26.3,26.3,0.2,0.2,0.0,0.0,0.0,1.7,1.7,8.3,8.3,2.6,2.6,49.7,49.7,0.5,0.5,0.0,0.0,0.0
Hu,202402,220.0,19.0,2.4,3.2,3.2,1.1,9.1,8.0,23.1,23.1,0.3,0.3,0.0,0.0,0.0,2.1,2.1,12.2,12.2,2.8,2.8,46.7,46.7,0.5,0.5,0.0,0.0,0.0
Hu,202403,216.0,24.0,2.5,3.3,3.3,1.1,9.2,8.1,20.8,20.8,0.7,0.7,0.0,0.1,0.1,2.2,2.2,17.6,17.6,2.8,2.8,42.6,42.6,0.7,0.7,0.0,0.0,0.0
Hu,202404,172.0,29.0,2.7,3.0,3.0,1.0,8.1,7.1,14.4,14.4,0.7,0.7,0.0,0.0,0.0,1.8,1.8,22.5,22.5,2.3,2.3,47.0,47.0,0.2,0.2,0.0,0.0,0.0
Hu,202405,172.0,31.0,2.6,2.1,2.1,1.0,8.1,7.1,14.2,14.2,1.0,1.0,0.0,0.0,0.0,1.8,1.8,26.4,26.4,1.5,1.5,44.5,44.5,0.4,0.4,0.0,0.0,0.0
Hu,202406,167.0,29.0,2.7,2.3,2.3,1.0,8.3,7.3,12.7,12.7,0.9,0.9,0.0,0.0,0.0,1.6,1.6,25.1,25.1,1.0,1.0,47.6,47.6,0.5,0.5,0.0,0.0,0.0
Hu,202407,162.0,30.0,2.9,1.2,1.2,0.0,7.1,7.1,14.2,14.2,0.8,0.8,0.0,0.3,0.3,1.6,1.6,26.4,26.4,1.2,1.2,46.7,46.7,0.5,0.5,0.0,0.0,0.0
Hu,202408,168.0,30.0,2.7,1.3,1.3,0.3,7.7,7.4,15.3,15.3,0.4,0.4,0.0,0.0,0.0,1.2,1.2,27.7,27.7,0.9,0.9,45.1,45.1,0.4,0.4,0.0,0.0,0.0
Hu,202409,190.0,28.0,2.5,3.4,3.4,0.8,8.6,7.8,17.0,17.0,0.5,0.5,0.0,0.0,0.0,1.7,1.7,21.6,21.6,2.0,2.0,44.8,44.8,0.4,0.4,0.0,0.0,0.0
Hu,202410,192.0,23.0,2.7,3.4,3.4,0.7,7.7,7.0,19.9,19.9,0.7,0.7,0.0,0.0,0.0,1.7,1.7,17.1,17.1,1.6,1.6,47.5,47.5,0.4,0.4,0.0,0.0,0.0
Hu,202411,226.0,14.0,2.9,3.6,3.6,0.8,7.3999999999999995,6.6,28.4,28.4,0.5,0.5,0.0,0.4,0.4,1.7,1.7,8.7,8.7,1.5,1.5,47.4,47.4,0.4,0.4,0.0,0.0,0.0
Hu,202412,232.0,12.0,3.0,4.3,4.3,0.9,8.1,7.2,28.8,28.8,0.6,0.6,0.0,0.1,0.1,1.7,1.7,5.4,5.4,1.8,1.8,48.9,48.9,0.3,0.3,0.0,0.0,0.0
Hu,202501,212.0,13.0,3.0,4.1,4.1,0.8,5.1,4.3,31.2,31.2,0.7,0.7,0.0,0.0,0.0,1.6,1.6,6.8,6.8,1.8,1.8,48.2,48.2,0.5,0.5,0.0,0.0,0.0
Hu,202502,226.0,20.0,2.8,4.7,4.7,0.8,5.6,4.8,32.4,32.4,0.6,0.6,0.0,0.0,0.0,1.6,1.6,13.6,13.6,1.2,1.2,39.8,39.8,0.5,0.5,0.0,0.0,0.0
Hu,202503,171.0,27.0,2.9,5.4,5.4,1.0,4.7,3.7,20.7,20.7,0.6,0.6,0.0,0.1,0.1,1.8,1.8,19.3,19.3,2.1,2.1,45.0,45.0,0.3,0.3,0.0,0.0,0.0
Hu,202504,130.0,33.0,2.9,4.9,4.9,0.9,4.0,3.1,12.6,12.6,0.9,0.9,0.0,0.0,0.0,1.9,1.9,25.3,25.3,2.1,2.1,48.1,48.1,0.2,0.2,0.0,0.0,0.0
Hu,202505,117.0,33.0,2.8,3.8,3.8,1.0,4.2,3.2,9.4,9.4,0.8,0.8,0.0,0.0,0.0,1.9,1.9,27.1,27.1,1.4,1.4,51.0,51.0,0.4,0.4,0.0,0.0,0.0
Hu,202506,131.0,42.0,2.7,3.9,3.9,1.0,4.2,3.2,12.2,12.2,0.7,0.7,0.0,0.0,0.0,1.7,1.7,36.5,36.5,1.3,1.3,39.1,39.1,0.4,0.4,0.0,0.0,0.0
Hu,202507,147.0,37.0,2.9,3.3,3.3,0.9,4.2,3.3,16.3,16.3,0.4,0.4,0.0,0.0,0.0,1.9,1.9,31.4,31.4,1.4,1.4,40.7,40.7,0.4,0.4,0.0,0.0,0.0
Hu,202508,137.0,39.0,2.7,4.5,4.5,0.9,4.4,3.5,13.1,13.1,0.4,0.4,0.0,0.0,0.0,1.6,1.6,32.8,32.8,1.2,1.2,41.6,41.6,0.4,0.4,0.0,0.0,0.0
Hu,202509,134.0,29.0,2.7,3.5,3.5,0.9,4.3,3.4,14.5,14.5,0.5,0.5,0.0,0.0,0.0,1.2,1.2,24.0,24.0,1.1,1.1,50.5,50.5,0.4,0.4,0.0,0.0,0.0
Hu,202510,178.0,23.0,3.1,4.8,4.8,0.3,3.9,3.6,25.9,25.9,0.4,0.4,0.0,0.1,0.1,1.0,1.0,16.2,16.2,1.8,1.8,45.6,45.6,0.3,0.3,0.0,0.0,0.0
Hu,202511,227.0,16.0,2.8,4.5,4.5,0.9,4.8,3.9,34.9,34.9,0.8,0.8,0.0,0.1,0.1,1.6,1.6,9.1,9.1,1.5,1.5,42.3,42.3,0.4,0.4,0.0,0.0,0.0
Hu,202512,234.0,12.0,2.8,5.1,5.1,1.0,4.6,3.6,37.2,37.2,0.9,0.9,0.0,0.0,0.0,1.7,1.7,5.4,5.4,1.0,1.0,43.7,43.7,0.4,0.4,0.0,0.0,0.0
