country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
It,201801,421.0,29.0,21.0,1.5,1.5,11.7,11.7,0.0,31.6,31.6,11.2,12.2,1.0,0.6,0.6,26.5,26.5,3.9,3.9,9.4,9.4,0.0,0.0,0.2,0.2,0.0,2.4,2.4
It,201802,425.0,29.0,20.1,1.4,1.4,12.0,12.0,0.0,31.7,31.7,11.5,12.5,1.0,0.5,0.5,27.0,27.0,4.1,4.1,8.5,8.5,0.0,0.0,0.1,0.1,0.0,2.2,2.2
It,201803,395.0,35.0,21.4,1.3,1.3,12.9,12.9,0.0,26.1,26.1,13.5,14.8,1.3,0.6,0.6,25.0,25.0,5.5,5.5,11.4,11.4,0.0,0.0,0.1,0.1,0.0,2.3,2.3
It,201804,337.0,45.0,18.7,1.5,1.5,8.6,8.6,0.0,22.4,22.4,22.9,24.5,1.6,0.4,0.4,23.6,23.6,9.7,9.7,6.5,6.5,0.0,0.0,0.2,0.2,0.0,2.6,2.6
It,201805,326.0,48.0,20.8,1.4,1.4,9.5,9.5,0.0,20.0,20.0,28.8,30.4,1.6,0.5,0.5,22.3,22.3,9.2,9.2,4.3,4.3,0.0,0.0,0.1,0.1,0.0,2.3,2.3
It,201806,323.0,47.0,21.6,1.3,1.3,8.7,8.7,0.0,22.8,22.8,25.6,27.1,1.5,0.2,0.2,21.0,21.0,10.1,10.1,6.5,6.5,0.0,0.0,0.1,0.1,0.0,2.2,2.2
It,201807,371.0,38.0,23.9,1.2,1.2,10.7,10.7,0.0,29.1,29.1,19.1,20.2,1.1,0.2,0.2,21.6,21.6,9.8,9.8,5.1,5.1,0.0,0.0,0.1,0.1,0.0,2.0,2.0
It,201808,386.0,36.0,22.0,1.3,1.3,10.5,10.5,0.0,30.4,30.4,17.7,18.9,1.2,0.2,0.2,23.3,23.3,9.8,9.8,3.4,3.4,0.0,0.0,0.1,0.1,0.0,2.1,2.1
It,201809,414.0,31.0,22.0,1.2,1.2,12.0,12.0,0.0,32.3,32.3,13.7,14.8,1.1,0.5,0.5,24.3,24.3,8.4,8.4,4.3,4.3,0.0,0.0,0.1,0.1,0.0,2.1,2.1
It,201810,418.0,30.0,21.0,1.5,1.5,12.2,12.2,0.0,33.2,33.2,12.0,12.8,0.8,0.3,0.3,24.4,24.4,6.1,6.1,7.1,7.1,0.0,0.0,0.1,0.1,0.0,2.3,2.3
