country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Lt,202101,229.0,62.0,0.0,11.7,11.7,0.0,0.0,0.0,31.3,31.3,6.3,24.8,18.5,0.0,0.0,3.0,3.0,0.2,0.2,25.2,25.2,0.0,0.0,3.8,3.8,0.0,0.0,0.0
Lt,202102,222.0,62.0,0.0,10.0,10.0,0.0,0.0,0.0,31.8,31.8,7.1,24.7,17.6,0.0,0.0,2.3,2.3,0.6,0.6,27.1,27.1,0.0,0.0,3.5,3.5,0.0,0.0,0.0
Lt,202103,201.0,67.0,0.0,10.3,10.3,0.0,0.0,0.0,26.5,26.5,10.9,25.6,14.7,0.0,0.0,3.0,3.0,0.9,0.9,30.3,30.3,0.0,0.0,3.4,3.4,0.0,0.0,0.0
Lt,202104,181.0,71.0,0.0,9.4,9.4,0.0,0.0,0.0,22.4,22.4,8.7,28.5,19.8,0.0,0.0,3.0,3.0,1.6,1.6,31.4,31.4,0.0,0.0,3.7,3.7,0.0,0.0,0.0
Lt,202105,166.0,74.0,0.0,7.6,7.6,0.0,0.0,0.0,19.7,19.7,10.2,29.8,19.6,0.0,0.0,2.7,2.7,5.2,5.2,30.9,30.9,0.0,0.0,4.1,4.1,0.0,0.0,0.0
Lt,202106,296.0,46.0,0.0,7.2,7.2,0.0,0.0,0.0,49.7,49.7,7.1,18.1,11.0,0.0,0.0,3.8,3.8,7.2,7.2,13.2,13.2,0.0,0.0,0.8,0.8,0.0,0.0,0.0
Lt,202107,258.0,56.0,0.0,9.8,9.8,0.0,0.0,0.0,35.8,35.8,6.8,19.4,12.6,0.0,0.0,4.3,4.3,8.0,8.0,18.5,18.5,0.0,0.0,4.2,4.2,0.0,0.0,0.0
Lt,202108,188.0,70.0,0.0,10.0,10.0,0.0,0.0,0.0,20.4,20.4,7.0,23.0,16.0,0.0,0.0,4.5,4.5,5.5,5.5,31.9,31.9,0.0,0.0,4.7,4.7,0.0,0.0,0.0
Lt,202109,258.0,54.0,0.0,7.6,7.6,0.0,0.0,0.0,40.0,40.0,6.2,17.9,11.7,0.0,0.0,2.9,2.9,3.3,3.3,25.1,25.1,0.0,0.0,3.2,3.2,0.0,0.0,0.0
Lt,202110,136.0,80.0,0.0,9.4,9.4,0.0,0.0,0.0,13.2,13.2,7.4,25.1,17.7,0.0,0.0,3.0,3.0,3.2,3.2,42.6,42.6,0.0,0.0,3.5,3.5,0.0,0.0,0.0
Lt,202111,108.0,87.0,0.0,11.1,11.1,0.0,0.0,0.0,6.1,6.1,7.7,29.5,21.8,0.0,0.0,3.1,3.1,1.3,1.3,45.1,45.1,0.0,0.0,3.8,3.8,0.0,0.0,0.0
Lt,202112,166.0,75.0,0.0,10.9,10.9,0.0,0.0,0.0,19.1,19.1,8.5,29.2,20.7,0.0,0.0,2.8,2.8,0.7,0.7,33.8,33.8,0.0,0.0,3.5,3.5,0.0,0.0,0.0
Lt,202201,87.0,91.0,0.0,10.4,10.4,0.0,0.0,0.0,3.2,3.2,10.7,28.1,17.4,0.0,0.0,2.5,2.5,2.7,2.7,49.8,49.8,0.0,0.0,3.3,3.3,0.0,0.0,0.0
Lt,202202,76.0,93.0,0.0,9.2,9.2,0.0,0.0,0.0,1.6,1.6,13.6,24.8,11.2,0.0,0.0,2.5,2.5,6.0,6.0,52.9,52.9,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Lt,202203,175.0,74.0,0.0,10.3,10.3,0.0,0.0,0.0,15.2,15.2,12.5,27.4,14.9,0.0,0.0,2.4,2.4,14.1,14.1,22.4,22.4,0.0,0.0,8.2,8.2,0.0,0.0,0.0
Lt,202204,129.0,84.0,0.0,10.7,10.7,0.0,0.0,0.0,3.8,3.8,10.7,21.5,10.8,0.0,0.0,1.4,1.4,7.5,7.5,44.1,44.1,0.0,0.0,11.0,11.0,0.0,0.0,0.0
Lt,202205,110.0,87.0,0.0,8.8,8.8,0.0,0.0,0.0,4.2,4.2,12.4,26.3,13.9,0.0,0.0,0.7,0.7,11.0,11.0,40.5,40.5,0.0,0.0,8.5,8.5,0.0,0.0,0.0
Lt,202206,179.0,72.0,0.0,8.7,8.7,0.0,0.0,0.0,18.8,18.8,13.6,26.0,12.4,0.0,0.0,0.8,0.8,14.0,14.0,23.7,23.7,0.0,0.0,8.0,8.0,0.0,0.0,0.0
Lt,202207,182.0,73.0,0.0,10.3,10.3,0.0,0.0,0.0,14.7,14.7,9.0,16.8,7.8,0.0,0.0,0.7,0.7,15.2,15.2,30.6,30.6,0.0,0.0,11.7,11.7,0.0,0.0,0.0
Lt,202208,226.0,63.0,0.0,8.5,8.5,0.0,0.0,0.0,24.1,24.1,6.2,18.6,12.4,0.0,0.0,2.0,2.0,15.2,15.2,20.7,20.7,0.0,0.0,10.9,10.9,0.0,0.0,0.0
Lt,202209,131.0,84.0,0.0,9.7,9.7,0.0,0.0,0.0,3.5,3.5,7.1,22.7,15.6,0.0,0.0,1.6,1.6,14.0,14.0,37.2,37.2,0.0,0.0,11.3,11.3,0.0,0.0,0.0
Lt,202210,125.0,83.0,0.0,8.0,8.0,0.0,0.0,0.0,6.2,6.2,7.4,21.2,13.8,0.0,0.0,0.7,0.7,6.5,6.5,47.2,47.2,0.0,0.0,10.2,10.2,0.0,0.0,0.0
Lt,202211,201.0,67.0,0.0,7.7,7.7,0.0,0.0,0.0,19.6,19.6,8.2,25.5,17.3,0.0,0.0,0.7,0.7,1.7,1.7,32.2,32.2,0.0,0.0,12.6,12.6,0.0,0.0,0.0
Lt,202212,228.0,60.0,0.0,6.1,6.1,0.0,0.0,0.0,30.1,30.1,5.9,21.9,16.0,0.0,0.0,1.0,1.0,0.6,0.6,31.4,31.4,0.0,0.0,8.9,8.9,0.0,0.0,0.0
Lt,202301,114.0,82.0,0.0,5.9,5.9,0.0,0.0,0.0,7.9,7.9,12.8,26.6,13.8,0.0,0.0,1.5,1.5,1.1,1.1,48.7,48.7,0.0,0.0,8.3,8.3,0.0,0.0,0.0
Lt,202302,102.0,85.0,0.0,6.0,6.0,0.0,0.0,0.0,4.2,4.2,12.6,25.9,13.3,0.0,0.0,1.1,1.1,3.9,3.9,49.6,49.6,0.0,0.0,9.3,9.3,0.0,0.0,0.0
Lt,202303,104.0,85.0,0.0,5.3,5.3,0.0,0.0,0.0,6.2,6.2,11.3,19.8,8.5,0.0,0.0,0.9,0.9,7.4,7.4,52.0,52.0,0.0,0.0,8.4,8.4,0.0,0.0,0.0
Lt,202304,117.0,82.0,0.0,6.1,6.1,0.0,0.0,0.0,8.8,8.8,12.5,20.0,7.5,0.0,0.0,0.9,0.9,13.2,13.2,42.7,42.7,0.0,0.0,8.3,8.3,0.0,0.0,0.0
Lt,202305,111.0,85.0,0.0,6.3,6.3,0.0,0.0,0.0,5.8,5.8,8.8,20.6,11.8,0.0,0.0,1.0,1.0,26.0,26.0,31.7,31.7,0.0,0.0,8.6,8.6,0.0,0.0,0.0
Lt,202306,153.0,74.0,0.0,5.8,5.8,0.0,0.0,0.0,18.2,18.2,5.2,14.3,9.1,0.0,0.0,0.6,0.6,28.6,28.6,25.1,25.1,0.0,0.0,7.4,7.4,0.0,0.0,0.0
Lt,202307,105.0,85.0,0.0,5.7,5.7,0.0,0.0,0.0,7.4,7.4,4.4,13.6,9.2,0.0,0.0,0.5,0.5,25.5,25.5,40.2,40.2,0.0,0.0,7.1,7.1,0.0,0.0,0.0
Lt,202308,174.0,71.0,0.0,5.2,5.2,0.0,0.0,0.0,13.8,13.8,4.0,14.2,10.2,0.0,0.0,6.9,6.9,18.4,18.4,32.9,32.9,0.0,0.0,8.6,8.6,0.0,0.0,0.0
Lt,202309,150.0,74.0,0.0,4.7,4.7,0.0,0.0,0.0,16.0,16.0,3.4,13.0,9.6,0.0,0.0,5.0,5.0,18.6,18.6,37.7,37.7,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Lt,202310,125.0,78.0,0.0,3.8,3.8,0.0,0.0,0.0,14.4,14.4,3.1,10.4,7.3,0.0,0.0,2.2,2.2,7.5,7.5,56.4,56.4,0.0,0.0,5.3,5.3,0.0,0.0,0.0
Lt,202311,151.0,74.0,0.0,5.4,5.4,0.0,0.0,0.0,12.6,12.6,6.3,17.3,11.0,0.0,0.0,4.0,4.0,3.5,3.5,48.2,48.2,0.0,0.0,9.0,9.0,0.0,0.0,0.0
Lt,202312,163.0,70.0,0.0,4.2,4.2,0.0,0.0,0.0,18.9,18.9,5.4,13.7,8.3,0.0,0.0,2.7,2.7,1.3,1.3,50.9,50.9,0.0,0.0,8.3,8.3,0.0,0.0,0.0
Lt,202401,160.0,70.0,0.0,3.6,3.6,0.0,0.0,0.0,21.2,21.2,5.1,11.8,6.7,0.0,0.0,2.1,2.1,0.8,0.8,53.5,53.5,0.0,0.0,7.0,7.0,0.0,0.0,0.0
Lt,202402,137.0,76.0,0.0,4.1,4.1,0.0,0.0,0.0,13.2,13.2,11.2,17.1,5.9,0.0,0.0,1.9,1.9,1.6,1.6,53.4,53.4,0.0,0.0,8.7,8.7,0.0,0.0,0.0
Lt,202403,111.0,83.0,0.0,4.1,4.1,0.0,0.0,0.0,6.4,6.4,10.0,15.6,5.6,0.0,0.0,1.6,1.6,12.9,12.9,50.4,50.4,0.0,0.0,9.0,9.0,0.0,0.0,0.0
