country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Lv,202101,323.0,42.0,0.0,9.0,9.0,0.0,0.0,0.0,50.1,50.1,31.2,31.2,0.0,0.0,0.0,8.4,8.4,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202102,317.0,42.0,0.0,8.4,8.4,0.0,0.0,0.0,49.9,49.9,32.5,32.5,0.0,0.0,0.0,7.8,7.8,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202103,207.0,65.0,0.0,7.6,7.6,0.0,0.0,0.0,27.2,27.2,55.8,55.8,0.0,0.0,0.0,7.4,7.4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202104,106.0,87.0,0.0,7.0,7.0,0.0,0.0,0.0,6.3,6.3,77.6,77.6,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202105,92.0,91.0,0.0,8.5,8.5,0.0,0.0,0.0,0.7,0.7,80.4,80.4,0.0,0.0,0.0,8.6,8.6,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202106,229.0,62.0,0.0,10.1,10.1,0.0,0.0,0.0,27.6,27.6,51.2,51.2,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202107,351.0,36.0,0.0,9.7,9.7,0.0,0.0,0.0,53.4,53.4,24.2,24.2,0.0,0.0,0.0,10.6,10.6,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202108,220.0,71.0,0.0,20.5,20.5,0.0,0.0,0.0,9.2,9.2,44.4,44.4,0.0,0.0,0.0,20.0,20.0,0.0,0.0,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202109,341.0,39.0,0.0,10.6,10.6,0.0,0.0,0.0,52.0,52.0,24.8,24.8,0.0,0.0,0.0,9.5,9.5,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202110,281.0,54.0,0.0,14.4,14.4,0.0,0.0,0.0,34.4,34.4,33.4,33.4,0.0,0.0,0.0,12.1,12.1,0.0,0.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202111,276.0,52.0,0.0,10.6,10.6,0.0,0.0,0.0,38.4,38.4,38.7,38.7,0.0,0.0,0.0,9.3,9.3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202112,279.0,50.0,0.0,7.0,7.0,0.0,0.0,0.0,44.5,44.5,40.8,40.8,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202201,255.0,56.0,0.0,9.6,9.6,0.0,0.0,0.0,35.6,35.6,43.2,43.2,0.0,0.0,0.0,8.3,8.3,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202202,136.0,82.0,0.0,9.5,9.5,0.0,0.0,0.0,9.9,9.9,68.2,68.2,0.0,0.0,0.0,8.4,8.4,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202203,99.0,90.0,0.0,9.8,9.8,0.0,0.0,0.0,2.1,2.1,78.4,78.4,0.0,0.0,0.0,8.1,8.1,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202204,63.0,95.0,0.0,5.0,5.0,0.0,0.0,0.0,1.5,1.5,87.6,87.6,0.0,0.0,0.0,3.9,3.9,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202205,87.0,91.0,0.0,7.0,7.0,0.0,0.0,0.0,4.1,4.1,81.1,81.1,0.0,0.0,0.0,5.3,5.3,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202206,81.0,93.0,0.0,8.6,8.6,0.0,0.0,0.0,0.4,0.4,82.4,82.4,0.0,0.0,0.0,6.7,6.7,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202207,94.0,90.0,0.0,8.5,8.5,0.0,0.0,0.0,1.1,1.1,74.9,74.9,0.0,0.0,0.0,8.6,8.6,0.0,0.0,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202208,297.0,46.0,0.0,7.7,7.7,0.0,0.0,0.0,48.3,48.3,33.1,33.1,0.0,0.0,0.0,5.8,5.8,0.0,0.0,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202209,283.0,49.0,0.0,8.8,8.8,0.0,0.0,0.0,46.2,46.2,32.9,32.9,0.0,0.0,0.0,4.7,4.7,0.0,0.0,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202210,276.0,49.0,0.0,5.1,5.1,0.0,0.0,0.0,49.0,49.0,39.5,39.5,0.0,0.0,0.0,2.5,2.5,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202211,306.0,42.0,0.0,4.1,4.1,0.0,0.0,0.0,56.9,56.9,34.1,34.1,0.0,0.0,0.0,1.6,1.6,0.0,0.0,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202212,339.0,34.0,0.0,3.6,3.6,0.0,0.0,0.0,64.4,64.4,26.6,26.6,0.0,0.0,0.0,1.5,1.5,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202301,108.0,79.0,0.0,2.9,2.9,0.0,0.0,0.0,19.3,19.3,72.4,72.4,0.0,0.0,0.0,1.8,1.8,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lv,202302,180.0,62.0,0.0,3.6,3.6,0.0,0.0,0.0,35.7,35.7,54.9,54.9,0.0,0.0,0.0,2.1,2.1,0.0,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
