country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
No,201801,33.0,98.0,15.6,0.0,0.0,0.0,0.0,0.0,1.7,1.7,95.8,95.8,0.0,0.0,0.0,0.3,0.3,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201802,33.0,98.0,14.8,0.0,0.0,0.0,0.0,0.0,1.6,1.6,96.2,96.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201803,34.0,98.0,14.1,0.0,0.0,0.0,0.0,0.0,1.8,1.8,95.7,95.7,0.0,0.0,0.0,0.4,0.4,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201804,41.0,97.0,10.5,0.0,0.0,0.0,0.0,0.0,2.4,2.4,94.4,94.4,0.0,0.0,0.0,1.1,1.1,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201805,47.0,95.0,9.9,0.0,0.0,0.0,0.0,0.0,2.5,2.5,93.3,93.3,0.0,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201806,45.0,96.0,9.6,0.0,0.0,0.0,0.0,0.0,2.6,2.6,93.5,93.5,0.0,0.0,0.0,1.6,1.6,0.0,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201807,46.0,96.0,9.3,0.0,0.0,0.0,0.0,0.0,2.9,2.9,94.0,94.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201808,38.0,97.0,10.5,0.0,0.0,0.0,0.0,0.0,2.6,2.6,95.1,95.1,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201809,36.0,97.0,10.9,0.0,0.0,0.0,0.0,0.0,2.4,2.4,94.1,94.1,0.0,0.0,0.0,0.3,0.3,0.0,0.0,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201810,37.0,97.0,13.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,94.4,94.4,0.0,0.0,0.0,0.8,0.8,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201811,35.0,98.0,13.6,0.0,0.0,0.0,0.0,0.0,1.9,1.9,95.1,95.1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201812,37.0,97.0,13.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,94.3,94.3,0.0,0.0,0.0,0.8,0.8,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201901,36.0,98.0,14.7,0.0,0.0,0.0,0.0,0.0,1.5,1.5,94.8,94.8,0.0,0.0,0.0,0.9,0.9,0.0,0.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No,201902,33.0,98.0,11.7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
