country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Pl,201801,702.0,16.0,13.7,0.6,0.6,50.6,77.9,27.3,5.4,5.4,1.6,2.3,0.7,1.2,1.2,0.0,0.0,0.0,0.0,12.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201802,768.0,7.0,12.7,1.1,1.1,56.5,85.4,28.9,6.0,6.0,1.4,1.7,0.3,1.2,1.2,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201803,742.0,10.0,13.6,0.5,0.5,54.4,82.2,27.8,6.5,6.5,1.3,1.7,0.4,1.1,1.1,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201804,713.0,15.0,11.5,1.2,1.2,48.6,78.7,30.1,5.7,5.7,1.7,2.3,0.6,1.0,1.0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201805,751.0,10.0,11.5,1.6,1.6,51.8,83.19999999999999,31.4,5.7,5.7,1.2,1.7,0.5,1.0,1.0,0.0,0.0,0.0,0.0,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201806,762.0,9.0,11.7,1.5,1.5,51.8,84.6,32.8,5.6,5.6,0.8,1.1,0.3,0.9,0.9,0.0,0.0,0.0,0.0,6.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201807,771.0,8.0,12.5,1.4,1.4,52.2,85.5,33.3,6.0,6.0,1.0,1.4,0.4,0.8,0.8,0.0,0.0,0.0,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201808,765.0,8.0,12.5,1.4,1.4,53.8,84.5,30.7,6.8,6.8,0.8,1.1,0.3,0.9,0.9,0.0,0.0,0.0,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201809,750.0,10.0,12.1,1.5,1.5,53.6,83.8,30.2,4.8,4.8,0.6,0.9,0.3,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201810,724.0,13.0,12.9,1.2,1.2,53.3,81.0,27.7,4.9,4.9,0.6,1.0,0.4,0.9,0.9,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201811,750.0,10.0,13.0,1.4,1.4,55.6,83.7,28.1,5.2,5.2,0.6,0.9,0.3,1.1,1.1,0.0,0.0,0.0,0.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201812,722.0,13.0,13.8,1.1,1.1,52.8,79.8,27.0,6.1,6.1,0.8,1.3,0.5,1.2,1.2,0.0,0.0,0.0,0.0,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201901,717.0,14.0,14.4,1.3,1.3,52.7,79.2,26.5,6.0,6.0,1.1,1.6,0.5,1.2,1.2,0.0,0.0,0.0,0.0,10.7,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201902,698.0,16.0,12.2,1.1,1.1,51.1,76.8,25.7,6.4,6.4,1.4,1.9,0.5,1.2,1.2,0.0,0.0,0.0,0.0,12.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201903,676.0,18.0,12.7,1.4,1.4,49.7,73.80000000000001,24.1,7.2,7.2,1.6,2.4,0.8,1.1,1.1,0.0,0.0,0.0,0.0,14.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201904,705.0,14.0,11.5,1.3,1.3,51.3,76.4,25.1,8.8,8.8,1.2,2.0,0.8,1.1,1.1,0.0,0.0,0.0,0.0,10.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pl,201905,731.0,11.0,11.7,1.0,1.0,51.6,80.1,28.5,7.6,7.6,1.7,2.5,0.8,1.0,1.0,0.0,0.0,0.0,0.0,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
