country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Pt,201801,351.0,46.0,4.9,3.2,3.2,21.0,21.0,0.0,30.9,30.9,9.0,14.3,5.3,0.0,0.0,2.2,2.2,0.9,0.9,27.5,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201802,340.0,50.0,4.4,5.0,5.0,23.2,23.2,0.0,25.7,25.7,12.2,18.2,6.0,0.0,0.0,0.7,0.7,1.2,1.2,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201803,129.0,83.0,5.8,4.2,4.2,6.2,6.2,0.0,10.4,10.4,33.8,44.2,10.4,0.0,0.0,0.5,0.5,1.0,1.0,33.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201804,137.0,81.0,4.5,4.7,4.7,5.4,5.4,0.0,12.9,12.9,42.0,50.8,8.8,0.0,0.0,0.5,0.5,1.5,1.5,24.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201805,333.0,52.0,4.0,5.8,5.8,23.1,23.1,0.0,23.8,23.8,22.3,27.1,4.8,0.0,0.0,0.7,0.7,1.9,1.9,17.6,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201806,370.0,45.0,4.5,5.2,5.2,23.6,23.6,0.0,31.4,31.4,19.1,22.4,3.3,0.0,0.0,0.5,0.5,1.7,1.7,15.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201807,407.0,38.0,4.8,5.2,5.2,25.5,25.5,0.0,36.0,36.0,15.3,18.5,3.2,0.0,0.0,0.5,0.5,1.9,1.9,12.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201808,403.0,38.0,4.5,5.3,5.3,24.9,24.9,0.0,36.3,36.3,10.9,14.6,3.7,0.0,0.0,0.5,0.5,2.1,2.1,16.3,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201809,433.0,34.0,4.3,5.2,5.2,28.0,28.0,0.0,37.3,37.3,13.2,17.2,4.0,0.0,0.0,0.5,0.5,2.0,2.0,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201810,349.0,47.0,4.1,3.2,3.2,21.7,21.7,0.0,29.4,29.4,8.0,13.2,5.2,0.0,0.0,2.1,2.1,1.8,1.8,28.6,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201811,325.0,51.0,4.7,3.0,3.0,21.2,21.2,0.0,25.9,25.9,13.8,18.2,4.4,0.0,0.0,1.6,1.6,0.9,0.9,29.2,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201812,312.0,56.0,4.6,3.4,3.4,22.9,22.9,0.0,19.4,19.4,20.1,27.2,7.1,0.0,0.0,2.0,2.0,1.0,1.0,24.1,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201901,313.0,54.0,4.8,4.7,4.7,21.1,21.1,0.0,24.1,24.1,13.8,19.0,5.2,0.0,0.0,0.5,0.5,1.2,1.2,29.4,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201902,290.0,57.0,3.6,3.9,3.9,17.8,17.8,0.0,23.5,23.5,19.1,25.6,6.5,0.0,0.0,1.8,1.8,1.9,1.9,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201903,262.0,63.0,3.5,5.2,5.2,16.8,16.8,0.0,18.6,18.6,18.3,24.4,6.1,0.0,0.0,1.9,1.9,2.6,2.6,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201904,258.0,60.0,3.9,4.8,4.8,12.8,12.8,0.0,25.6,25.6,15.8,22.7,6.9,0.0,0.0,1.2,1.2,2.4,2.4,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201905,274.0,55.0,3.8,5.5,5.5,9.0,9.0,0.0,35.9,35.9,10.7,16.1,5.4,0.0,0.0,0.5,0.5,3.0,3.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201906,366.0,39.0,3.7,6.4,6.4,14.4,14.4,0.0,45.8,45.8,5.4,8.2,2.8,0.0,0.0,0.6,0.6,3.0,3.0,21.6,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201907,392.0,36.0,4.2,5.8,5.8,18.0,18.0,0.0,45.3,45.3,7.9,10.7,2.8,0.0,0.0,0.6,0.6,2.7,2.7,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201908,288.0,48.0,3.5,7.8,7.8,2.4,2.4,0.0,48.8,48.8,9.0,14.0,5.0,0.0,0.0,0.6,0.6,3.4,3.4,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201909,261.0,53.0,3.6,7.0,7.0,1.4,1.4,0.0,45.1,45.1,12.1,18.1,6.0,0.0,0.0,0.7,0.7,2.9,2.9,24.8,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201910,298.0,49.0,3.9,6.6,6.6,7.5,7.5,0.0,42.9,42.9,8.6,13.8,5.2,0.0,0.0,0.6,0.6,2.1,2.1,26.5,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201911,200.0,67.0,4.8,4.9,4.9,4.6,4.6,0.0,28.5,28.5,13.5,20.7,7.2,0.0,0.0,0.3,0.3,1.0,1.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,201912,145.0,77.0,5.5,4.7,4.7,2.5,2.5,0.0,20.0,20.0,32.8,44.5,11.7,0.0,0.0,0.3,0.3,1.0,1.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202001,189.0,68.0,5.6,4.9,4.9,2.1,2.1,0.0,29.7,29.7,30.9,38.3,7.4,0.0,0.0,0.4,0.4,1.1,1.1,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202002,183.0,69.0,4.1,6.5,6.5,0.5,0.5,0.0,30.4,30.4,33.1,40.7,7.6,0.0,0.0,0.4,0.4,2.0,2.0,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202003,160.0,73.0,4.1,6.9,6.9,0.2,0.2,0.0,25.9,25.9,24.6,33.1,8.5,0.0,0.0,0.5,0.5,2.4,2.4,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202004,124.0,82.0,3.2,8.4,8.4,0.0,0.0,0.0,17.8,17.8,32.5,42.3,9.8,0.0,0.0,0.5,0.5,3.0,3.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202005,186.0,69.0,3.1,8.1,8.1,0.5,0.5,0.0,30.0,30.0,26.1,34.9,8.8,0.0,0.0,0.6,0.6,4.1,4.1,21.8,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,202006,232.0,59.0,3.3,7.8,7.8,0.2,0.2,0.0,40.7,40.7,15.3,21.7,6.4,0.0,0.0,0.5,0.5,4.1,4.1,24.9,25.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Pt,202007,306.0,44.0,3.7,7.1,7.1,2.5,2.5,0.0,52.9,52.9,7.8,13.2,5.4,0.0,0.0,0.5,0.5,4.0,4.0,19.6,19.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Pt,202008,320.0,45.0,4.0,7.2,7.2,8.6,8.6,0.0,45.6,45.6,8.1,12.6,4.5,0.0,0.0,0.4,0.4,3.8,3.8,21.6,21.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Pt,202009,348.0,42.0,4.3,6.4,6.4,12.8,12.8,0.0,44.6,44.6,10.8,15.3,4.5,0.0,0.0,0.5,0.5,2.8,2.8,17.5,17.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Pt,202010,247.0,58.0,4.5,6.4,6.4,5.3,5.3,0.0,36.2,36.2,16.0,22.2,6.2,0.0,0.0,0.3,0.3,2.5,2.5,26.9,27.099999999999998,0.0,0.0,0.0,0.0,0.2,0.0,0.0
