country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Ro,201801,369.0,34.0,6.0,0.6,0.6,2.5,28.5,26.0,20.7,20.7,20.9,20.9,0.0,0.0,0.0,0.0,0.0,0.8,0.8,11.2,11.2,17.3,17.3,0.0,0.0,0.0,0.0,0.0
Ro,201802,356.0,37.0,5.8,0.6,0.6,1.8,27.5,25.7,19.7,19.7,21.9,21.9,0.0,0.0,0.0,0.0,0.0,0.8,0.8,13.3,13.3,16.2,16.2,0.0,0.0,0.0,0.0,0.0
Ro,201803,318.0,43.0,6.0,0.5,0.5,1.6,25.6,24.0,15.1,15.1,31.3,31.3,0.0,0.0,0.0,0.0,0.0,1.5,1.5,9.7,9.7,16.3,16.3,0.0,0.0,0.0,0.0,0.0
Ro,201804,211.0,54.0,4.9,0.4,0.4,1.2,17.4,16.2,7.7,7.7,39.9,39.9,0.0,0.0,0.0,0.0,0.0,3.3,3.3,10.9,10.9,20.4,20.4,0.0,0.0,0.0,0.0,0.0
Ro,201805,289.0,53.0,4.6,0.6,0.6,1.2,24.2,23.0,11.3,11.3,37.7,37.7,0.0,0.0,0.0,0.0,0.0,3.8,3.8,10.8,10.8,11.6,11.6,0.0,0.0,0.0,0.0,0.0
Ro,201806,299.0,42.0,4.8,0.5,0.5,1.2,23.5,22.3,14.8,14.8,31.5,31.5,0.0,0.0,0.0,0.0,0.0,3.2,3.2,7.2,7.2,19.3,19.3,0.0,0.0,0.0,0.0,0.0
Ro,201807,278.0,47.0,5.3,0.5,0.5,1.3,23.1,21.8,11.1,11.1,39.8,39.8,0.0,0.0,0.0,0.0,0.0,2.9,2.9,3.7,3.7,18.9,18.9,0.0,0.0,0.0,0.0,0.0
Ro,201808,306.0,42.0,5.2,0.5,0.5,1.5,23.9,22.4,15.6,15.6,31.2,31.2,0.0,0.0,0.0,0.0,0.0,3.3,3.3,6.6,6.6,18.9,18.9,0.0,0.0,0.0,0.0,0.0
Ro,201809,320.0,39.0,4.8,0.4,0.4,1.8,25.2,23.4,16.3,16.3,25.6,25.6,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10.4,10.4,19.1,19.1,0.0,0.0,0.0,0.0,0.0
Ro,201810,332.0,35.0,5.1,0.5,0.5,3.0,25.0,22.0,19.7,19.7,21.1,21.1,0.0,0.0,0.0,0.0,0.0,2.4,2.4,11.4,11.4,19.9,19.9,0.0,0.0,0.0,0.0,0.0
Ro,201811,365.0,32.0,5.3,0.7,0.7,2.7,27.0,24.3,22.8,22.8,19.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.9,10.9,18.6,18.6,0.0,0.0,0.0,0.0,0.0
Ro,201812,371.0,30.0,5.5,0.7,0.7,2.4,26.599999999999998,24.2,24.8,24.8,17.9,17.9,0.0,0.0,0.0,0.0,0.0,0.6,0.6,10.9,10.9,18.5,18.5,0.0,0.0,0.0,0.0,0.0
Ro,201901,340.0,34.0,5.5,0.8,0.8,2.3,23.7,21.4,23.7,23.7,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,14.5,14.5,18.7,18.7,0.0,0.0,0.0,0.0,0.0
Ro,201902,325.0,37.0,5.1,0.7,0.7,2.2,22.9,20.7,21.8,21.8,22.3,22.3,0.0,0.0,0.0,0.0,0.0,1.6,1.6,12.6,12.6,18.1,18.1,0.0,0.0,0.0,0.0,0.0
Ro,201903,300.0,42.0,5.2,0.8,0.8,2.0,23.3,21.3,15.6,15.6,25.5,25.5,0.0,0.0,0.0,0.0,0.0,2.7,2.7,12.5,12.5,19.6,19.6,0.0,0.0,0.0,0.0,0.0
Ro,201904,281.0,46.0,4.8,0.7,0.7,1.7,24.599999999999998,22.9,9.2,9.2,29.2,29.2,0.0,0.0,0.0,0.0,0.0,2.8,2.8,13.0,13.0,20.5,20.5,0.0,0.0,0.0,0.0,0.0
