country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Si,201801,275.0,31.0,1.3,0.6,0.6,0.0,26.8,26.8,2.8,2.8,29.4,29.7,0.3,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,38.8,38.8,0.6,0.6,0.0,0.0,0.0
Si,201802,347.0,23.0,1.2,0.5,0.5,0.0,34.8,34.8,3.2,3.2,21.7,21.7,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.1,38.7,38.7,0.6,0.6,0.0,0.0,0.0
Si,201803,296.0,31.0,1.4,0.5,0.5,0.0,29.1,29.1,3.0,3.0,28.3,29.3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.5,36.5,0.6,0.6,0.0,0.0,0.0
Si,201804,308.0,67.0,1.0,0.7,0.7,0.0,30.1,30.1,2.2,2.2,60.6,63.1,2.5,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0
Si,201805,132.0,51.0,1.3,0.5,0.5,0.0,11.7,11.7,0.9,0.9,45.5,47.7,2.2,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,36.1,36.1,0.6,0.6,0.0,0.0,0.0
Si,201806,128.0,45.0,1.2,0.6,0.6,0.0,11.4,11.4,0.7,0.7,39.4,41.6,2.2,0.0,0.0,0.0,0.0,2.8,2.8,0.0,0.0,42.4,42.4,0.5,0.5,0.0,0.0,0.0
Si,201807,289.0,29.0,1.2,0.4,0.4,0.0,29.5,29.5,0.8,0.8,24.6,26.1,1.5,0.0,0.0,0.0,0.0,2.6,2.6,0.0,0.0,40.0,40.0,0.6,0.6,0.0,0.0,0.0
Si,201808,322.0,25.0,1.2,0.2,0.2,0.0,33.2,33.2,0.7,0.7,20.7,22.4,1.7,0.0,0.0,0.0,0.0,2.6,2.6,0.0,0.0,40.2,40.2,0.7,0.7,0.0,0.0,0.0
Si,201809,290.0,29.0,1.2,0.5,0.5,0.0,29.7,29.7,0.7,0.7,25.0,26.9,1.9,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,39.7,39.7,0.5,0.5,0.0,0.0,0.0
Si,201810,344.0,23.0,1.3,0.5,0.5,0.0,35.2,35.2,1.6,1.6,19.1,21.2,2.1,0.0,0.0,0.0,0.0,1.4,1.4,0.1,0.1,39.3,39.3,0.7,0.7,0.0,0.0,0.0
