country_name,month_id,co2_g_kwh,renewable_perc,total_twh,source_Biomass_detail_perc,source_biomass_total_perc,source_Coal_detail_perc,source_coal_total_perc,source_Coal_Lignite_detail_perc,source_Gas_detail_perc,source_gas_total_perc,source_Hydro_detail_perc,source_hydro_total_perc,source_Hydro_Storage_detail_perc,source_Oil_detail_perc,source_oil_total_perc,source_Other_detail_perc,source_other_total_perc,source_Solar_detail_perc,source_solar_total_perc,source_Wind_detail_perc,source_wind_total_perc,source_Nuclear_detail_perc,source_nuclear_total_perc,source_Waste_detail_perc,source_waste_total_perc,source_Wind_Offshore_detail_perc,source_Geothermal_detail_perc,source_geothermal_total_perc
Sk,201801,184.0,22.0,2.7,1.2,1.2,1.7,6.7,5.0,4.8,4.8,19.1,20.3,1.2,1.4,1.4,13.1,13.1,0.5,0.5,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0
Sk,201802,201.0,17.0,2.3,1.7,1.7,2.4,7.800000000000001,5.4,5.2,5.2,13.7,14.7,1.0,1.5,1.5,13.9,13.9,0.8,0.8,0.0,0.0,54.4,54.4,0.0,0.0,0.0,0.0,0.0
Sk,201803,200.0,16.0,2.5,1.7,1.7,2.2,7.8,5.6,4.7,4.7,11.8,12.8,1.0,1.5,1.5,14.1,14.1,1.3,1.3,0.0,0.0,56.1,56.1,0.0,0.0,0.0,0.0,0.0
Sk,201804,190.0,22.0,2.3,2.0,2.0,2.0,7.6,5.6,4.2,4.2,16.1,17.2,1.1,1.4,1.4,13.0,13.0,2.5,2.5,0.0,0.0,52.1,52.1,0.0,0.0,0.0,0.0,0.0
Sk,201805,193.0,22.0,2.0,2.1,2.1,1.8,7.1,5.3,3.8,3.8,15.3,16.6,1.3,2.3,2.3,13.3,13.3,3.2,3.2,0.0,0.0,51.6,51.6,0.0,0.0,0.0,0.0,0.0
Sk,201806,202.0,19.0,1.9,2.0,2.0,2.7,8.100000000000001,5.4,4.0,4.0,13.0,14.3,1.3,2.1,2.1,13.6,13.6,2.8,2.8,0.0,0.0,53.1,53.1,0.0,0.0,0.0,0.0,0.0
Sk,201807,204.0,17.0,2.1,3.0,3.0,4.4,9.4,5.0,4.2,4.2,10.5,10.8,0.3,1.9,1.9,12.0,12.0,3.0,3.0,0.0,0.0,55.7,55.7,0.0,0.0,0.0,0.0,0.0
Sk,201808,178.0,14.0,2.2,3.1,3.1,3.8,5.6,1.8,5.8,5.8,8.0,8.4,0.4,1.8,1.8,12.2,12.2,2.8,2.8,0.0,0.0,60.3,60.3,0.0,0.0,0.0,0.0,0.0
Sk,201809,208.0,16.0,2.0,1.7,1.7,4.7,6.4,1.7,9.1,9.1,10.4,11.1,0.7,2.1,2.1,13.5,13.5,2.8,2.8,0.0,0.0,53.3,53.3,0.0,0.0,0.0,0.0,0.0
Sk,201810,232.0,15.0,2.0,2.8,2.8,4.7,11.7,7.0,5.6,5.6,8.6,9.9,1.3,1.5,1.5,12.9,12.9,2.0,2.0,0.0,0.0,53.6,53.6,0.0,0.0,0.0,0.0,0.0
Sk,201811,193.0,12.0,2.2,3.1,3.1,3.7,9.7,6.0,6.4,6.4,7.2,8.1,0.9,1.4,1.4,8.4,8.4,1.0,1.0,0.0,0.0,61.9,61.9,0.0,0.0,0.0,0.0,0.0
Sk,201812,189.0,16.0,2.4,2.9,2.9,3.0,9.2,6.2,5.9,5.9,11.6,12.7,1.1,1.6,1.6,8.5,8.5,0.4,0.4,0.0,0.0,58.8,58.8,0.0,0.0,0.0,0.0,0.0
